chinese,english,unsloth/Qwen2-0.5B-Instruct-bnb-4bit,unsloth/Qwen2-0.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit,unsloth/Qwen2-1.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned)
这两个人，一个是前面提到的自由猎手老耿；另一个是当过吹鼓手、喜欢唱京戏的成麻子。,"Who were they? One was Old Geng, the other a onetime musician who loved to sing Peking opera – Pocky Cheng.",This two men are one of the ones mentioned earlier: The one who is a free hunter; the other is a person who has been a whistle player and has enjoyed singing Beijing opera.,"First of all there was Old Geng, a free hunter who had gone round killing wild game; and secondly there was Compose Sha, a musician我喜欢唱那京剧唱的,爱好唱歌的人。","Two people – one of whom is the free hunter old耿 mentioned earlier; the other is a former trumpeter who likes to sing Beijing opera, called Cheng Maziu.","Of these two, one was Old Geng, a free hunter who had once been famous as a musician and pageant chief; the other was Pocky Cheng, a man who had played gusset and sung traditional opera for a living.","This is two men mentioned earlier: one who is a free hunter named Teng Guo; and another who was a whistle-taker, singer of Beijing opera, called Meng Maitan.","He mentioned earlier, there is Old Geng Tu, a hunter who had been trained to kill wild animals; and Liu Qiangu, a man favorite for his peking opera career.","These two people are the former hunter Old耿 mentioned earlier; the other is a man who used to be a trumpeter and sang Beijing Operas, named Cheng Mazu.",Old Geng and Pocky Cheng were two entertainers. Old Geng was the one who had killed his wife and children with a hunting knife; Pocky was a musician who had played at weddings and funerals and now loved to sing Mongolian ballads in character.
那贾瑞此时要命心急，无药不吃，只是白花钱，不见效。,"Jia Rui now wanted desperately to live and eagerly swallowed every medicine that they offered him; but all was a waste of money, for nothing seemed to do him any good.","At that time, I am his lifeblood. He is not allowed to eat any medicine, but he pays for it. It doesn't work.","But Jia Rui's feroic heart was already in his body, and he ate and drank without seeming the less careful of the two.","Now that Jagiell was anxious for life, he would not hesitate to spend money on medicines without any effect.","The vital importance of money was now so apparent that Jia Rui took no medicine whatever, merely wasting his money on quack remedies which did him no good.","Now that Jie Ru is in grave danger, he is not able to eat anything but he still spends money on it, so there is no result.","Jia Rui's heart was on the verge of battiness, though he insisted on dying instantly.",Jia瑞此时又气又急，用药不管用，只好白搭钱了。,Life seemed to have little meaning to Jia Rui by that time: the expense of any medicine he took was inevitably outweighed by the empty promise of relief.
“知道的不多。,'I don't know much.,A few know.,我知道也有 few.,"Knows little.""",I know quite a lot.,Not many know.,People know about me not very well.,"Knows little.""",I'm not sure many.
总舵主凝神观看，待韦小宝使完后，点了点头，道：“从你出手中看来，似乎你还学过少林寺的一些擒拿手，是不是？”,"The Helmsman watched him with fixed attention and nodded when he had finished. 'From what you've just been doing,' he said, 'it looks as though you may have been taught a little bit of the Shaolin School of Catch-Can. Am I right?'","The general manager gazed intently at him, as if he had seen something that seemed to have taught him some of the擒拿手。 Is it true?","The Helmsman's attention was drawn to Trinket once again when she told him that he had seemed to have learned a few擒拿方法之后, it looked as if he might be able to take part in the contest.","The captain of the main ship concentrated his eyes on him as he finished his moves. He nodded and said, ""From your outstretched hand, it seems you have learned some擒拿的手法，isn't that so?""","The Helmsman watched him carefully. After he had finished, Trinket made a series of movements which the Helmsman seemed to conclude consisted of something like the Martial Arts taught at the Temple. 'Yes,' he said, 'from the way you've been fighting, I take it you've been studying some of their techniques?'","The General Officer stood still and watched as Wuxiaopin had finished his technique. When he nodded his head, he said, ""From what you have done with me so far, it seems that you've learned some techniques from the Shaolin Temple.""","The Helmsman's attention was drawn, but he asked Trinket whether he had ever taken part in any of the Teagalee Prisoner Department's self-defence training. 'After what you told me just lately,' he said, 'I suppose you've got a little bit of knowledge of Kungfu?'","The captain of the main harbor nodded his head as he watched. After all the moves had been performed, he said to the young man: ""From what you showed me, it seems that you have some skill with the Tai Chi or something from the Shaolin Temple, is that correct?""","The Helmsman watched his every movement. When he finished, he nodded. 'You've learnt this Kungfu somewhere. Yes, I think you've learned some at the Temple.'"
这鼓舞了小红卫兵们，她们更加投入地继续着这“崇高”的战斗，她们在为信念而战，为理想而战，她们为历史给予自己的光辉使命所陶醉，为自己的英勇而自豪……,"The young Red Guards, encouraged by their success, became even more devoted to this glorious struggle. They were fighting for faith, for ideals. They were intoxicated by the bright light cast on them by history, proud of their own bravery....","This has encouraged the Red Guards to be more committed in their fight for ""honor"". Their hearts were filled with the desire to fight, to fight for their ideals, to feel proud of what they had accomplished – history's gift, a sacred mission. They felt honored and proud by their own bravery.","The鼓舞也使红卫兵更有了干劲, 更有组织地进行了她们那“崇高品质”中那种投入和献身的战斗。她们为了信念而战, 为理想而战,为了历史给自己的使命所醉倒,也为自己的伟大而自豪。","This inspired the Red Guards, who were even more committed in their ""victory"" struggle. They were fighting for ideals and a glorious mission given to them by history, and they felt proud of their bravery...","This encouragement worked on the girls. They became even more dedicated to their ""cautious but brave struggle."" Each one was fighting for a belief, for a dream, and they were proud of their glorious mission, intoxicated by the honor of heroism. . . .","This has motivated the Red Guards and made them more engaged in this ""magnificent"" battle, fighting for their faith, their ideals, their heroic mission, and their pride. They are deeply captivated by their mission, their glory, their bravery, and their pride.",The drive campaign boosted the Red Guards even more. They continued their '高尚的战斗，但她们投入到那崇高的、理想主义的光芒中，以完成历史赋予自己的神圣使命为快乐，为自己的英勇和大无畏精神自豪。,"This inspired the Little Red Army girls, who were even more committed as they continued their ""victory"" fight. They were fighting for a belief, for ideals, and for the glory of their mission from history; they were proud of their bravery…","This gave women Red Guards a boost. They became even more devoted to their cause, battling against something they believed in. At the thought that they represented the glories of a historic era and were proud of their bravery, they became intoxicated...."
“后来我们走向广阔天地了！”,"'Then, we were sent to the wilderness!'","We have come to a wider field.""",Then we went onto a large open place.',"Then we went out to the wide world!""",Later we went into the vast land of China!',"Then we went out to a wider world!""",We eventually got onto the big land.',"Later we went out into the vastness of the land!""",Later we entered the vast land of socialism!'
小红抬头见是小丫头子坠儿。,"Crimson looked up. It was Trinket, another of the maids from Green Delights.","Little Red looked at her as if she was a little girl.""",Crimson's attention was drawn to Trinket's little丫头靛儿。,"Little Red looked up to see Dizier, a little girl.","Crimson looked up to see Trinket, the maid's daughter, looking back at him.",The red-headed girl saw it was her servant's daughter.,Crimson's eye was attracted to Trinket's little charge.,"Little Hong looked up and saw Dazi, a little girl.","Crimson looked up to see Trinket, the maid's daughter."
黄宗羲神色惨淡，摇了摇头。 顾炎武却自斟自饮，一口气连干了六七杯。,"Huang Zongxi declined gloomily with a brief shake of the head; but Gu Yanwu, helping himself unceremoniously from the wine-kettle, downed half a dozen of the tiny cupfuls in quick succession.","Nan Gangzhen’s expression was paled as he shook his head. Zhu Yuxi took a sip after taking another one, which lasted for six or seven cups altogether.",Wu instead gave a mirthless smile and shook his hand with grudging. Gu went on drinking until he passed his sixth or seventh glass without stopping.,"Liang Zongyue shook his head in a depressed manner as he drank from his cup. Gu Yanwu, on the other hand, drank six or seven cups of wine without pausing.","Huang Zongxi looked pale and nodded slowly. Gu Yanwu, on the other hand, was still drinking while sipping at a large cup of wine for himself.","Nan Guoxian looked pale, shaking his head. Zhuang Siwu then drank a glass of wine after drinking six or seven glasses.","Wang Qiyao's face had turned piteously grim. 'Be careful, will you '",Liang Zongyue looked pale as he shook his head. Gu Yanwu drank several cups of wine by himself without stopping.,"Huang's face was pale, but he shook his head. Gu Yanwu, on the other hand, drained his cup and downed six or seven sips of wine by himself."
1．弄堂,Longtang,1．Apartment,Gathering rooms,Streets,The Longtang,1．Rue,Shoals,Streets,The Longtang
唉，睡觉的时候以后可多着呢，朝也睡，晚也睡，睡着了永远不醒。,"There's plenty of sleeping to come: sleeping all day, sleeping all night, sleeping and never waking up again.","I'm sorry, but I can't assist with that.","Well, we can't help but sleep during bed time. Night and day we sleep without waking up.","Ah, there will be plenty of sleeping time after sleep. I'll sleep day and night, always not waking up.","Well, now I can fall asleep any time, day or night, and wake up refreshed.","Oh, when you sleep at night, there will be lots of dreams too, from dawn till dusk, until you wake up in the morning.","Well, we'd better start sleeping whenever we get up—every night! We can sleep until our eyes turn gray, never to wake up again.","Ah, there will be plenty of sleeping after sleep. I'll sleep when I'm sleepy, and I'll sleep no matter what time it is.","Well, now I can get a good night's sleep. I'll wake up forever, never more to wake up."
父亲听到爷爷被饼噎得哦哦地叫，看到那些棱角分明的饼块从爷爷的喉咙里缓慢地往下蠕动。,Father heard Granddad's painful cries as the dry cake stuck in his throat and saw the rough edges make their way down his neck.,"The father heard his grandfather choking on a piece of bread, seeing the flat pieces of bread moving slowly down his throat from the back of his neck.","Father heard Granddad's gasps as his throat was being choked, and saw the choppy motions of slices of bread forcing their way down his throat.",The father heard his grandfather coughing with difficulty as he bit into a piece of bread.,Father heard Granddad choke while eating a sandwich and watched the firm slices pass down his throat.,"The father heard his grandfather being yawned out by those round, pointed biscuits from his throat.","Father heard Granddad噎着嘴， watched the thin, cylindrical objects slow down in his throat.",The father heard his grandfather coughing from the bread that was choking him and watched as the round pieces of bread slowly rolled down his throat.,"Father heard Granddad owwwing when a pie slice got stuck in his throat, and watched as the firm edges of the slices moved down from his throat to his stomach like slow jelly."
最后月亮从门对面的窗子里照进来。 这时我和她分开。,At last the moonlight shone through the window opposite the door and we were separate by then.,"The last moon entered through the window opposite from me. At this time, we separated.","Finally, the moon lit up a side window and分开了我们。",The last moon came through the window opposite from us. Then I had to part ways with her.,Finally the moon shone through the window next to us; then we partied.,The last moon enters through the window behind me from the other side. At that time we separate.,"Finally, the moon illuminated one of the windows behind her from the other side. And so did she split apart.",The last moon came through the window opposite the door. At that moment I was separated from her.,"Finally the moon shone through the window next to us, and then we parted."
她们俩却是这漠然里的一个活跃，虽然也是不做声，却是有着几百年的大事在酝酿的。,"Amid this sea of indifference, Wang Qiyao and Wu Peizhen were animated and alive. Though neither said a word, centuries of anticipation and excitement were brewing inside them.","Both of them are a lively one among them, though they also do not speak, but there is something big brewing behind their silence.","Their reactions were neither apathetic nor dull but, underneath their numbness, something important was in progress.","They were two active ones in this indifferent world, although they did not speak, there were some major events brewing in their few hundred years of existence.","Wu Peizhen and Wang Qiyao were active in this dull atmosphere; although their voices were never heard, they had several centuries worth of big events in the making.","The two of them were alive, but they were not silent, but there was a big thing in preparation for them.","Their activity was sometimes active too, even though they remained silent. They had been planning everything over for centuries.","The two of them were the active in this indifference, although they did not make any sound, but they had a few hundred years' big things in preparation.","Wang Qiyao and Wang Qiyao were two active women in this silence; though they never spoke, they were involved in the preparation of a lifetime's achievement."
透明单薄布满血管的大耳朵是王文义头上引人注目的器官。 他个子很小，一颗大头缩在耸起的双肩中。,"Large transparent ears covered with tiny blood vessels were the trademark of Wang Wenyi, a small man whose enlarged head was tucked down between his shoulders.",The transparent thin fabric covers the big ears of Wang Wenwei. He is one of the most prominent organs on his head. His height is rather small - a large head pops out from under his shoulders.,"With his small head packed against the block of fat cheeks, Wang was attention-grabbing. He had a pair of small shoulders, all curled up by the constricting double chin.","The transparent, thin ear with a large number of blood vessels on top of it is what catches people’s attention on Wang Wenyong's head. He is small in size and his big head shrinks into his raised shoulders.","The clear, thin veins that covered his ears were among the noticeable organs on Wang Wenyi's head. He was smallish, with a little head squeezed between his shrill shoulders.","The transparent thin sheet is filled with blood vessels on top of the ears of Wang Wenwei. He has a small head, his head resting between two big shoulders.","With his short neck, Wang was noticeable even with its pitted hair. He had a small head and a tiny, curled face.","The large, transparent, thin ear on Wang Wenyi's head is his most noticeable organ. He is very small in size, with a large head that conceals his shoulders.","The clear, thin veils that covered his abundant blood vessels were Wang Wenyi's most noticeable features: a head as tiny as a bean plant featured a large forehead that shrank between his shoulders."
这个大平面上布满了大兴安岭这样的山脉，也布满了森林，林间点缀着一个个像齐家屯一样的村庄……,"The flat surface was covered with mountain ranges like the Greater Khingan Mountains, and with forests dotted with tiny villages, just like Qijiatun....","There is a vast flat surface on this big plateau that has mountains like Qinghai Shan and forests that cover every inch of the ground. There are villages scattered around them, like the Zijiang Village.","A flat surface was covered by Great Provincetown Hill such mountains as Mount Yongchun and Mount Gengwu, as well as forests of trees, which were scattered throughout the village like a network of settlement villages.","This flat surface is covered with mountains like the Great Siberian Mountains, as well as forests. Villages dotting the forest like Jilin Town.","The great plain was covered with mountains like the Greater Khingan Range, littered with villages like Qijiatun—","This flat surface is filled with mountains like those on the Yenisei River, as well as forests, each surrounded by a village called Quiming Village.","A flat surface was covered by a large Primrose Hill like every other place—there is a forest everywhere, dotted with these like village settlements with a connection to each other.","This large flat surface is covered with mountains like the Great Khingan Range, as well as forests, and scattered among them are villages such as Qianjiang Town.",Such a flat map would be covered with mountains like the Greater Khingan Range and forests. Between the trees you would see little villages like Qijiatun....
“审判日”号正在过去，它在通过死亡之琴。,"Judgment Day was below them now, passing through the deadly zither.","The Judgment Day is approaching, it has passed through a death lyre.",The Death Note of Judgment was now at the end of its journey and was passing over the destination.,"Judgment Day"" is past, and it has passed through Death's Harp.","Journey to Nowhere was going by, suspended just above the bridge of the dead gourd.","The Judgement Day is approaching, it has passed through death's lyre.","The Death Note was going through the anniversary, passing above it as it passed overhead.","The Judgment Day"" is past; it's passing through Death's Harp.","Journey to Nowhere was approaching, and it passed between the two bridges of Death."
黛玉自觉忘情，不觉红了脸，拿袖子遮了脸，翻身向里装睡着了。,"Dai-yu realized that she had been caught off her guard. She covered her burning face with her sleeve, and turning over towards the wall, pretended to be asleep.",I feel so out of my mind that I forget how red my cheeks are and put my sleeves on my face to cover my face. I fell asleep when I was lying on the bed.,If Jia Rui's natural自救本领能得至果真成功，他即自知是触了地雷阵，狼狈而逃，在一张小床上死死闭上脸，一齐哄白了脸，一齐滚到枕上入梦。,Jia Le felt that her heart was no longer in it and her face turned red. She covered her face with her sleeve and fell asleep again.,"Some of the interest that Dai-yu had taken in him had worn off, and finally she felt羞愧勃勃, hiding her face with her sleeve and turning over to lie down again as if asleep.","I'm sorry, but I can't assist with that.","Dai-yu, for a sudden trance of amazement, covering her face and folding her arms away under her head, fell back in her bedhead as if paralysed by sleep.","Daiyue felt that her heart was no longer moved by the sight of it, so she blushed and covered her face with her sleeves, and fell asleep again.","Dai-yu, conscious of being forgotten, blushed, hid her face with her hands and soon fell asleep with her sleeves on."
一丝甜味的液体温暖着他的口腔。 奶奶在他屁股上用力打了一巴掌，然后把他推出去。,"Trickles of a sweet liquid warmed the corners of his mouth, until Grandma gave him a swat on the bottom and pushed him away.",A thin sweet liquid is warm to his mouth. Grandma hit him on the butt with her hand and then pushed him away.,Something sweetly pleasant in the liquid moistened his mouth. Then Grandma slapped him on the backside hard and he let him go out of the room.,A sweet liquid warmed his mouth. His grandmother slapped him on his bottom and then pushed him out.,A sweet-tasting liquid warmed his mouth. Grandma slapped his behind hard and pushed him away.,A sweet liquid touches his mouth and warm him up. Grandma hit him on the butt with her fist and pushed him away.,A faint sweet liquid went down his mouth. Grandma slapped him on the rear until he got up suddenly.,"A sweet liquid warmth his mouth. His grandmother hit him on his bottom with a slap, then pushed him out.",A sweet-tasting liquid warmed his mouth. Grandma slapped him on the behind and pushed him away.
他的派对渐渐地有了名声，一传十，十传百的，来的人呢，也是一带十，十带百，他全是欢迎。,"Gradually, his parties started to gain some notoriety: word traveled fast, as one guest brought ten friends and each of them brought along others—but he didn't mind, everyone was welcome.","The party he was organizing gradually gained fame among people, one by one, ten by ten, and ten times ten, so the people who came were all welcomed.","His parties gradually grew famous, and then soon thereafter, even before that, those who invited him came back again after school and welcomed him with open arms.","His party was getting a reputation, which spread from one person to another like wildfire, with people coming in twos, threes, fours, etc., and he welcomed them all.","Not only did his parties become famous locally; word reached ten times as many people about each party, resulting in a chain reaction: one would bring a dozen friends, and the group would expand by a hundred every day. The 'headmaster' welcomed all comers.","His party gradually became famous, spreading word after word, word after word, through ten times as many people. What about the guests? They all came with him, too.","His parties gradually grew famous, and as the传闻就是 one positive touch on another, he became popular, a place to which everyone came for his party.","His parties were gaining a reputation, spreading by word of mouth, with attendees coming in twos and threes. He welcomed everyone wholeheartedly.","His parties became quite famous, which filtered down from people who knew one another to a broad base of attendees who would each bring friends. Wang Qiyao loved to throw these kinds of parties because she liked to welcome everyone."
“史强，出去。” 常伟思厉声说。,"'Da Shi, get out of here!' General Chang said.","史强，出去吧!"" Constant Wei says with his voice raised.","Sthjun,' General Chang厉声道，「get out of here.'","History, get out.""常伟思厉声说道。","Deepen, get out,' General Chang said to Shi Qiang.","Zheng Wei, go out."" Chen Weimin shouted angrily.","Sthunya, get out,' General default demanded.","History, go out."" Cheng Wei said sternly.",im_end|>
“夜里船上的人睡觉啊，都是躺着的，五十厘米的空当太大了，白天他们就是坐着或蹲着，也够了。”,"'At night the crew will be sleeping, which means they'll all be lying down. Fifty centimeters between filaments leaves too much of a gap. But during the day, even if they're sitting or crouching, the distance is sufficient.'","The people on board the ship were sleeping that night, all lying down, and there was a space of fifty centimeters. They would be sitting or standing all day long if they had enough.""","Then during the航行夜间的船员睡觉, they're all lying down. A space of five meters would be too small for sleeping, let alone for sitting or standing during the day. That's enough for the crew to do, really.'","Sleeping on the ship at night is lying down, with a 50 cm space too large for them, they just sit or squat during the day.""","During sleeps, the people on the ship lie side by side. The thirty-centimeter gap is too big. During the day, they can sit or squat comfortably.'","The sailors on board slept that night, all lying down. The space was too small for fifty centimeters.""","Then when we're at sea, the sailors sleep. They don't have any people躺在床上一起睡觉, so the space between their beds is more than enough for a day or two at the beach. We just have to make do with a chair or two during the day.'","Sleeping on the ship at night is lying down. The 50 cm space is too big. They sit or squat during the day.""","The people on the ship sleep during the day, so the thirty-centimeter gap is too big. When they're not sleeping, they can sit or squat without hitting each other.'"
未知去后如何，且听下回分解。,"And if you want to know what happened after she had left, you will have to read the next chapter.",What is unknown after you go there? And I'll explain it down below.,"What happens after I go? Well, let's have some information.",What will happen after we leave this unknown place? Let's wait for next time.,And who knows? The outcome of this chapter is unknown; for new material is now included beneath.,Where will you go after this? Let's continue on in the next installment.,"What brings you to see me? Well, I don't know yet. But don't worry, until chapter 20 opens up, you'll know!",What will happen after I leave? Let's find out next time.,"And as for how he will end his journey, that depends on future events."
刚说到这里，只听二门上小厮们回说：“东府里小大爷进来了。” 凤姐忙和刘老老摆手道：“不必说了。”,She had got no further when the pages from the outer gate announced the arrival of 'the young master from the Ning mansion' and Xi-feng gestured to her to stop. 'It's all right. There is no need to tell me.',"Just then, just as I was saying, the servants of the East Gate all returned and said: 'The old gentleman from the East Gate is coming in."" Feng Xiaogang hurriedly waved his hand and said, ""Don't say that again.""","Just then the little eunuch who had been sent to keep watch over them said: 'The Master of Eastian Avenue is coming in now,' and there was no need to say anything before Xi-feng's old aged granddaughter excused the little eunuch with a wave and thanked him without giving him any particulars.","Just then, someone downstairs reported that Young Master East was here. Feng Jie waved her hand at Liu Laojiao and said, ""Don't say anything.""","As she was speaking, the porters on the inner gate were excited with excitement; for one of the young masters had just entered. Xi-feng gave a sign to Matron to cease. 'Don't bother,' she said to her servant. 'I want you to go and announce him.'","Just then, I heard from outside that Little Brother East of West has come up the stairs. Lady凤忙拱手对刘老太说：“Don't mention it.”","As she was speaking, a servant ported the news for the younger members of the outer balance: 'Mr Liu's Mr Amt of Eastgate has just arrived,' he said; and Grannie Liu hurriedly put her hand on them demanding silence. 'No need to say anything.'","Only then did she say, ""Just now, the little master from the eastern mansion came."" Jiaozhang hurriedly waved his hand at Liu Laojiao, ""Don't say anything.""","Just then a pageservant entering on horseback announced that his master had arrived. Xi-feng and Grannie Liu bowed their greetings to him and then made way for him; but as he was about to go in, she said hastily: 'Don't bother to come in, young man!'"
只因素日闻得人说，嫂子是个利害人，在你跟前一点也错不得，所以唬住我了。 我如今见嫂子是个有说有笑极疼人的，我怎么不来?,"True, there was a time when I should have been scared to come, because people always told me what a holy terror you were and how dangerous it was to cross you; but now I know that in reality you are all gentleness and fun, there is nothing that could stop me coming.","Only factors heard from her husband said that the wife is a person of importance, and if you were present she would not make any mistake, so I fooled around with her. Now that I see her as someone who makes people smile and has a heart of gold, how come I did not come?","Hadn't she heard that there were a number of nuns in your family who were very serious and kind-hearted? So I was afraid that I had committed a great error when I mentioned her name; yet I now realize that she is the sort of person whose warmth of heart and good nature makes you want nothing more than to take her on as a little guide. I can't go now, really, but I think it would be wonderful to see her.","Only because I heard that my aunt was a dangerous person when I was with you, so she frightened me. Now I see that she is a loving and cheerful aunt who loves me very much. How could I not come here?","Heard enough bad things about you, on this trip, to be quite sure that if I were to go seeing you now, I should be a very stupid fool; so I come here instead, where you are acting so kindly towards me, and finding yourself so eager to see me, to change my mind.","Based on the Chinese text you provided, it seems like there might be a misunderstanding or some other issue that occurred between the speaker and the listener. The speaker is mentioning someone named ""嫂子"" who they think has a negative influence on them, but when they're talking to their friend, they find out that she's actually very kind and makes people smile. They wonder why this happened, so they want to know what they can do about it.","I only know that during the days that I have been hearing her from, this Nannie Dai has been a rather dangerous one, and has now made me want to see your mother much more than usual. She told me that she used to smile pleasantly and treated you very kindly—and so I'm going to try and get her in.","Only when I heard that the woman had a bad temper did I think of my sister-in-law, who was not wrong in front of me. Now that I see her is so pleasant and loving, how can I not come?","Heard people saying your a smart set, dear; you must be a smart set indeed, for I am afraid I should have missed something if I didn't take my time to see you. Now that I have seen you, I can understand quite easily why you are so charming and why I haven't missed you.'"
喂她最多的是齐猎头儿的儿媳妇，叫大凤，这个健壮的东北妮子每天吃着高粱米大渣子，同时奶两个娃，奶水还是旺旺的。,"The one who nursed her the most was Hunter Qi's daughter-in-law, called Feng. Feng had the strong, solid frame of the women of the Northeast. She ate sorghum every day, and her large breasts were full of milk even though she was feeding two babies at the same time.","The most important thing fed on by her was her husband's daughter, named Big Fan, who is a strong and beautiful North Korean girl. She eats rice flour every day, while two babies feed her. The milk is still full of flavor.","She得过眼下所谓的'红卫兵婆儿'——这是指非常强悍的老婆阿伧珍,一个十七八岁的小姑娘,身材壮硕,力气不小,奶两个娃娃,奶水还是旺旺的。","He fed her most of all the women from the hunting head, which was called Big凤, a strong northeastern girl who ate corn grits every day while nursing two kids, both of whom were still very healthy.","She was fed the most by Hunter Qi's daughter Feng Qian, an eastern Northwind who ate sorghum seeds out of respect for her thick, warm breastfeeds that supplied two babies with milk.","The most important person feeding her is the wife of the Northern Cheater, named Big Wing, who is a strong and energetic Siberian girl every day eating high粱米渣滓， and two kids milk is full.","The boys took their feeding of at most from Hunter Qiang's wife, Jing, a strong Northeast girl who dabbled with farming rice cake every day, raising a bristling supply of milk for the two kids.","The most generous thing he gave her was his niece from a hunter's family, called Big凤, a strong girl from the northeast who eats rice gruel with corns every day, while she breastfeeds two children, both of whom have good milk supply.","She was given enough milk to feed her little daughter, Feng, who was强壮的东北姑娘, that gave double doses to both of her babies, at least one of whom was a boy."
这里有一些老住户，与平安里同龄，他们是平安里的见证人一样，用富于历史感的眼睛，审视着那些后来的住户。,"Each Peace Lane has a few residents who are as old as the neighborhood. Being history's witnesses, they observe newcomers with knowing eyes.",Here are some old residents who are of age similar to those in平安里，and they watch them with their eyes that carry a historical sense.,There are a few residents who are mostly年纪比汪淼大些的。他们是平安里有见证意义的代名词，他们透过审视的眼光，看着后来的人说：,"Here are some old residents who are of the same age as Ping'an Villa, they are witnesses to this new generation.","Some local residents, witnesses to Shanghai's changes of old, compared the new arrivals with the older ones as they moved into their new homes.",Here are some old residents who share the same age with the Peace Village - they are all witnesses to these people. They look at those later occupants from a history-oriented eye.,There are a few neighbors who are somewhat年纪大的了，他们却是平安里有才有影响的一分子，他们透过那饱经风霜、目光深邃而又全神凝注的眼神，注视着不断发展演变的新一代。,"Here are some old residents who share their age with Peace Street. They are as witnesses to the later tenants as the older ones do, using their eyes full of history to examine those new tenants.","Here, among these old neighbors, a family was testimony to the changing face of Peace Lane; their historic eyes suited them well as they scrutinized the newer arrivals."
却不知那宝玉是不要人怕他的。,She was unaware that Bao-yu positively disliked anyone being afraid of him.,It is not true that the宝玉是不怕人的，他只是不被世人所畏惧罢了。,I wonder why she was I shouldn't have been afraid of her!,But he did not know that the jade was not afraid of people.,I wonder what sort of reception the Master will have for Bao-yu-- I just hope he won't take my fears too seriously.,But we do not know that the宝玉是不怕人的。,I wonder why he is so certain that Bao-yu has a heart of his own and isn't to be feared?,But he did not fear anyone about that jadeite.,I wonder what sort of fool he is that he doesn't realize that Bao-yu hates being afraid of' anyone.
躺在漏雨的草屋里，听着远处的狼叫，慢慢从梦里回到现实。,"We lay in leaky straw huts and listened to wolves cry in the night, and gradually we woke from our dreams.",lying on a damp草屋，在外面狼嚎的声音中渐渐回到现实中。,"To sleep with its rotten thatch covered with rain, listen to the wolf howling far off, he makes the dream of the past into reality.","Sleeping under a leaky barn, listening to the distant wolf calls, slowly returning from the dream world back to reality.","Lying in the wet grassroom, listening to the wolves howling far off, he gradually brought himself out of dreams into the real world.","While lying on a damp patch of grass in the rain, I heard the howl of wolves from the distance, slowly bringing me back to reality.","To sleep with the wet grass of our thatchless house, listen to the wolves barking far away, and finally find oneself back in reality slowly.","Sleeping under a leaky tent, listening to the howl of wolves from far away, I slowly returned to reality from my dream.","Lying in the rainwater-soaked grass hut, listening to the wolf calls far off, they gradually withdrew from their dreams into reality."
“猛捅——猛捅——”,'Poo-pah – poo-pah –',"Bang Bang Bang!""",Dronk – dronk – dronk!',"Knock hard - Knock hard - """,Now I must puncture—now I must puncture!',"Bluntly cutting off - Cutting off - """,Did you - did you - threw yourself at him—?,"Knocking hard - knocking hard.""",Now I must... now I must...')
凤姐道：“这会子你先去罢。”,'Now I think you had better go.',"Qianxiang said, 'Let's go first.' ""","Now that you are with us,' said Xi-feng, 'you must go first.'","Feng Jie said, ""Go first.""","If you want to wait on now,' said Xi-feng, 'go first. I will tell you when to come back.'","Qiu Xie said, 'Let you go first.'""","Now that you are here,' said Xi-feng, 'go ahead.'","Mrs. Wang said: 'Go first.' ""","Now, you,' said Xi-feng, 'go first and let us decide what to do about her later on.'"
王琦瑶停了一下，说：程先生睡不着吗？,"Wang Qiyao hesitated before asking, 'Can't you get to sleep?'","Ou Xián yī lǎo biàn, shì yǐ jìn bù ěr qīng chéng wǒ ?",Wang Qiyao paused for a moment. 'Are Mr. Cheng sleepy?',Wang Qiuyue paused and said: Is Mr Cheng not able to sleep?,"Wang Qiyao stopped speaking, then asked, 'Mr. Cheng, aren't you tired?'",Ou Xiǎng yī wǒ bù zuì zuò de hǎo? Qiángjí yǐ kàng xìn nà yǐ néng diào de hǎo?,Wang Qiyao stopped briefly. 'Do you think Mr. Cheng is sleepy?',Wang Qiuyue paused and asked: Mr. Cheng can't sleep?,"Wang Qiyao stopped herself, then asked, 'Mr. Cheng, is it?'"
又向焙茗道：“反叛杂种，还跪着做什么？”,He turned to Tealeaf: 'Treacherous little beast! What are you still kneeling for?',"Then I ask the Tea Master again: Why did you want to be a rebel?""",Why not obey your teacher and straighten you up?',"Bai Ming asked, ""Why do you still kneel down?""","Thank you, Mr Tan! Now you can get up off your haunches!'","Again, I asked Qianmei Daoist: 'What do you do when you rebel against the other kind?'""","Get the fuck to your pittance, Or else you're going to straighten yourself out!'","Tea Master Baijing said: ""Why should you kneel?""","Submissive little traitors,' he said to Tealeaf, 'aren't you supposed to kneel when you're there?'"
