chinese,english,unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned),unsloth/Qwen2-7B-Instruct-bnb-4bit,unsloth/Qwen2-7B-Instruct-bnb-4bit(finetuned),gradientai/Llama-3-8B-Instruct-Gradient-1048k,gradientai/Llama-3-8B-Instruct-Gradient-1048k(finetuned),unsloth/Qwen2-7B-Instruct,unsloth/Qwen2-72B-Instruct-bnb-4bit,unsloth/Qwen2-7B-Instruct(finetuned),unsloth/mistral-7b-instruct-v0.3,unsloth/mistral-7b-instruct-v0.3(finetuned),unsloth/Qwen2-72B-Instruct-bnb-4bit(finetuned)
它就像箱底的旧衣服一样，好是好，可是错过了年头，披挂上身，一看就是个陈年累月的人，所以它还是给王琦瑶添旧的。,"It was like the old clothes at the bottom of her chest: though many were still in good shape, wearing them only made her look older, because they were from the wrong era.","It's like a worn-out garment on the bottom of a wardrobe - good enough, but it is past its prime, and you can see that it has aged and wrinkles on its surface. So it still gives her old clothes.","On the other hand, it was a comfortable old garment, and Wang Qiyao had already sensed that something was not right about this surplus yearning for what could have been. So she decided to wear them with a certain cachet.",It was like a worn-out old shirt from the bottom of the drawer; it looked good but it didn’t fit well with the years that had passed. So it still added on to Wang Qiuyue’s weariness.,"She was like a pair of pants that had been flattened by the bottom of a chest: good fit all right, but it was too late fashion-wise. Worn on the arm of a young woman in the midst of a cleaning sweep through the old clothes, it gave the impression of being the work of a man who had lived a long time, so Wang Qiyao decided to borrow the pants.","It was like an old garment at the bottom of a chest, decent but out of date; when you put it on, you couldn't help noticing its age, so it merely added to the sense of antiquity that Wang Qiyao already exuded.","It was like an old garment at the bottom of a chest: still in good condition, it was, but that was because it was so old. Putting it on was like putting on someone who had been worn out; all the years of use were written across its shabby frame. So Wang Qiyao decided to use it to make a new garment, thereby giving it a fresh start.","It's like an old box of clothes at the bottom of a wardrobe, good as it may be, but it's been sitting there for too long. If you put it on, you'll look like an old, worn-out person.","Like a pile of old clothes in the basement, the furniture reminded Wang Qiyao of her past. Worn out and outdated, it would have looked odd had she put it to use; as it was, it merely added to her sense of nostalgia.","It was like an old garment at the bottom of a chest, decent enough but out of season; when worn, it made one look as if they had been around for many years. So it was still something that added to the impression of age on Wang Qiyao.","It was like old clothes at the bottom of a trunk, fine in themselves but out of date, so that anyone wearing them would instantly look old and outdated too; for this reason it made Wang Qiyao seem even older.","It is like an old garment tucked away at the bottom of a box: still functional, but, having been neglected for so long, it only serves to emphasize how old the person wearing it has become.","It's like old clothes at the bottom of a box, good or not, but it's missed its time. Worn on the body, it immediately makes one look like an old relic. Therefore, it was given to Wang Jiaxiao as an old item.","It was like a set of old clothes at the bottom of a trunk. Although they were perfectly good clothes, the passage of time had given them a worn-out look. Giving them to Wang Qiyao would be like giving her a set of used clothes, making her appear even older than she was.","It was like an old dress at the bottom of a chest: good quality, but no longer in fashion. If she were to put it on, people would immediately think that she was an old woman. That was why the scar added years to Wang Qiyao."
佳蕙点头，想了一会道：“可也怨不得你。,"Melilot shook her head sympathetically. 'I can't say I really blame you,' she said.","Good-herb nodded his head for a moment before saying, ""I don't think you're responsible.""","Crimson nodded, thinking for a moment. 'You have no excuse; it just shows that I can't help you.","Jia Hu nodded. She thought for a moment and said: ""It's also your fault.""",Melilot nodded and thought for a moment before speaking: 'It does seem that way.,"Jia Hui nodded and thought for a moment before saying, ""Well, I can't blame you.""","Melilot nodded and sat thinking for a while before saying, 'I can see why you did it.","Nodding her head, she thought for a moment, ""I can't blame you.""","Little Melilot smiled. After a moment's reflection she said: 'I suppose you are right, really.","Jia Hui nodded and thought for a moment before saying, ""You can't be blamed for it.""","Jiahui nodded. After a moment of thought, she said, ""But you can't be blamed either.",Melilot nodded and after a moment's consideration said: 'I can see why you should feel that way.,"Jane nodded and said after a moment: ""I can't blame you either.""","Jane nodded, thinking for a moment before adding: 'I can't blame you for that.","Little Melilot nodded, and after a moment's reflection said: 'I suppose you can't be blamed."
凤姐道：“碰坏一点儿，你可仔细你的皮！”,"'If it's the tiniest bit chipped,' said Xi-feng, 'I'll have the hide off you!'","Qiu Qian said, 'A little damage is fine, you must be careful of your skin!'","Well that's good, you will have something to work with now,' said Xi-feng. 'At least I haven't ruined your paper.'","Mrs. Feng said, ""If you break a piece of it, be careful with your skin!""",No harm has been done. Be very careful with your neck!',"Nung Jie said, ""Watch out for your skin if you damage it even a little!""","Well, then, if you do break any of them, you had better watch out!'","""Crash into something a little bit, and be careful with your skin!""","'Well, whatever you do, don't go making her any worse!'","Nung Jie said, ""If you scratch it even a little bit, watch out for your skin!""","Fengjie said, ""If you so much as scratch it, watch out for your own skin!""","If you knock it out of shape, you'll have to watch your own skin!'","Sister Phoenix said: ""If you mess up a little, you should be careful with your own skin!""",I hope you haven't been too badly burned!' said Xi-feng. 'Let's hope you haven't damaged your skin!',"Watch it!' said Xi-feng. 'If you break even a tiny bit of that lacquer, you'll be sorry!'"
六个人沿着大路行不到三里，便转入右边的一条小路。,The little party of six walked their horses along the road for about a mile before taking a right-hand turn into a little side-road.,"Six people walked along a large path for three miles, but then turned right at a small path that was just beyond their reach.","Of six people, of whom two had already been identified as investigators, Six-Sight and Observer失踪的两人都径直走到了小路上, 三人对了 frente 而行;",Six people walked for about three miles along the main road before turning right onto a smaller path.,"After traveling along the main path for not more than three miles, they turned right onto a smaller trail.",Six people walking along the main road for less than a mile turned down a smaller path on the right side.,"After walking along the highway for about a mile, they took a path to the right that went down into the valley.",Six people followed the main road for about three miles before turning into a small path on the right.,"After walking about three miles along the main road, they turned onto a smaller road to the right.",Six people walking along the main road did not travel more than three li before turning onto a smaller path on the right side.,The six of them hadn’t walked three li along the main road before they turned onto a small path on their right.,"After walking along the highway for less than a mile, they turned off to the right onto a dirt path.","Six people walked along a large road for less than three li, and then turned into a small road on the right side.","The six of them walked along the main road for about three miles, then turned onto a smaller road to the right.","After going along the main road for about a mile and a half, they turned off on to a smaller one to the right."
那人用一只手按着那布包。,His hand rested on it.,The person is holding the bag with one hand.,The man draped his hand over the bag.,That man held up one hand and pressed a cloth bag against his chest.,The man put his hand on the package.,The person pressed the cloth bag with one hand.,The man held the package with one hand.,The person pressed down on the bag with one hand.,He put a hand on it.,The person pressed the cloth bag with one hand.,The man was holding the cloth bundle with one hand.,He held the package with one hand.,That person is holding a bag with one hand.,The man patted the bundle with one hand.,The man held it down with one hand.
就在蓑衣旁边，蚯蚓在爬。,Worms wriggled next to our palm-bark rain capes.,"In front of the blanket, a worm is crawling.","Under the palm tree, mine crawled.","Beside the fisherman's cloak, worms crawl.","In front of his eyes, dirt worms crawled across the palm-bark mat.","Beside the raincoat, the earthworms were crawling.","Next to the palm leaf rain cape, earthworms crawled.",There are ants crawling beside the bamboo hat.,Spiders scurried across the palm-bark rain cape.,"Beside the raincoat, the earthworms were crawling.","Beside the straw raincoat, earthworms are crawling.","Next to the palm leaf rain cape, earthworms were crawling.",A snail is crawling beside the bamboo mat.,The tentacles of a octopus were stretching out next to them on the riverbank.,"Right next to the straw rain cape, earthworms were wriggling."
他走到门口，便听到海老公的咳嗽之声，问道：“公公，你好些了吗？”,"As he drew near the entrance, he heard the old fellow coughing. 'Goong-goong? Are you feeling any better?'","He walked into the room and heard his grandfather coughing, asking him, ""Grandfather, how are you?""","He heard Old Hai squawking from outside the door: 'Goong-goong, how are you? Is everything alright?'","He walked out of the door, hearing a sound from his grandfather’s coughing. He asked, ""Grandfather, how do you feel?""","When he reached the gate, he could hear Old Hai's coughing voice. 'Are you nearly better, Goong-goong?' he asked.","He walked up to the door and heard the old man's coughing, then asked, ""Grandfather, are you feeling better?""","As he reached the door, he heard the old eunuch's coughing again. 'Are you feeling better, Goong-goong?' he called out.","He walked to the door and heard the coughing sound of his grandfather. He asked, ""Grandpa, are you feeling better?""","He walked in and heard Old Hai coughing. 'Goong-goong, are you feeling any better?'","He walked to the door and heard the old man's coughing, then asked, ""Grandfather, are you feeling better?""","He heard Hai Dangong’s coughing as he reached the door. ""Dad, have you gotten better?""","As he approached the door, he heard Old Hai's coughing again and called out to him, 'Are you feeling better, Granddad?'","He walked to the door and heard Grandpa's coughing. He asked, ""Grandpa, are you feeling better?""","As he reached the door, he heard Old Hai's cough again. 'Are you feeling better, Goong-goong?' he called out.","As he approached the door he heard the old eunuch's coughing. 'Are you feeling any better, Goong-goong?'"
为了伟大友谊，我还能光着屁股上街跑三圈。,"For the sake of our great friendship, I would even run three times around the block, bare assed.","In exchange for my noble friendship, I can still be barefooted on the street and run three laps.","For our great friendship, I could go out three times on the streets without tucking my屁股 underneath.",For great friendship I can still run around naked three times a day.,"For the great friendship, I could even run naked on the street for three laps.","For the sake of such a great friendship, I could even run down the street naked for three laps.","For our great friendship, I can walk naked on the street for three laps.","To maintain great friendship, I can run three circles naked in the street.","For the sake of our great friendship, I could run three laps around the street naked.","For such a great friendship, I could even run down the street naked for three laps.""","For the sake of our great friendship, I could run around the block three times with my bare butt.","For our great friendship, I could walk naked in the street for three laps.","For the sake of great camaraderie, I can run three rounds on the street bare-bottomed.","For the sake of our great friendship, I could even strip my pants and run three times around the block.","For our great friendship, I could run three laps around the street with my bare ass hanging out."
这时，孩子见久久没人管她，便大哭起来。,"At this point, the baby, whom no one had been tending to, began to howl.","At this time, the child saw that no one had taken care of her for a long time. She cried loudly.",Soon she gave up crying when nobody came to help her.,"At this moment, the child began to cry when no one took care of her for a long time.","Consequently, the girl began to cry, no one to attend to her.","At this point, when no one came to attend to her, the child began to cry loudly.","Since no one bothered to tend to her, the child cried out loud.","At this moment, the child saw that nobody was paying attention to her, so she started crying.","After a while, no one paid any attention to the baby, who began to wail.","At this point, when she realized that no one was going to attend to her, the child began to cry loudly.","The child, seeing that no one was paying attention to her for a long time, began to cry loudly.","Since no one seemed to notice her, the child began to wail.","At this time, the child started crying because no one had been attending to her for a long time.","The child, seeing that no one was attending to her, began to cry.","By this time the baby had begun to cry loudly, since no one had fed her for so long."
“已经了结了，你应该听说过的。”,'The past is finished. You should know that.',"Everything is over, you should have heard of it.""",All known unresolved cases have been dealt with. You can find some information on them if you want it.',"Is over,"" you should have heard.""",No. You should have heard that it was cleared up.',"It's settled, you should have heard about it.""",It's been settled. You must have heard about it.',"""Already settled, you should have heard about it.""",'Already concluded. You should know that.',"It's settled, you should have heard about it.""","It's been settled, you should have heard about it.""",It's been settled. You must have heard about it.',"It has been settled, you should be familiar with it.""",I thought the matter was already settled. You should know that by now.',It's already been concluded. You must have heard about it.'
因此刘老老看不过，便劝道：“姑爷，你别嗔着我多嘴：咱们村庄人家儿，那一个不是老老实实，守着多大碗儿吃多大的饭呢!,"Grannie Liu could eventually stomach no more of his wife-baiting and intervened on her daughter's behalf. 'Now look here, son-in-law: probably you will think me an interfering old woman; but we country folk have to be grateful for what is in the pot and cut down our appetites to the same measure.","Therefore, Liu old grandpa is very angry. He said, ""Grandma, don't be so smirking at me: I'm talking to you about a village family, right? No matter how big or small your house is, you always eat large portions of food with small amounts of money!""","Grannie Liu, however, was about to complain, when he cut her off with a kind word. 'Calm down, yourself! There's no reason for you to be shouting and cussing! Your family! Well, they all have their ways; some are happy eating cake while others are glad of it.","Therefore Liu Old is not pleased, so he speaks: ""Cousin, don't be angry with me; we village people all eat their meals according to how big their bowls are!""","Grannie Liu spoke up: 'Goong-goong, you don't need to be angry. In our little village, every family is just as honest as they can be. They'll feed their own碗碗哪怕再小)and their kids will still have enough to eat.","Therefore, Old Liu couldn't bear it and advised, ""My son-in-law, don't scold me for speaking my mind: In our village, isn't everyone honest and content with what they have, eating no more than what their bowl can hold?""","This caused Grannie Liu to interfere with a word of rebuke: 'Don't mind him, ma'am; out here folk don't lie about each other. They eat what they can find on their plates.","Therefore, Liu Lao Lao looked over and said, ""Don't be angry with me. We villagers are all honest and straightforward, we eat only as much as we can afford.""","Unable to withstand his grandmother's blandishments, Liu Lian removed the look of censure from his face and answered soothingly. 'Now, now! Don't be hard on the poor old woman. You know how country folk are — they can't help being stupid.","Therefore, Old Liu couldn't bear it and advised, ""Son-in-law, don't scold me for speaking out of turn: every family in our village is honest and eats only what they can manage according to their means!""","So Old Lady Liu could not refrain from saying: ""Don't blame me for being too talkative, son-in-law. In our village everyone is straightforward and eats according to the size of his bowl.","Grannie Liu took pity on her and interfered. 'Now, don't let me upset you, but I really do think you oughtn't to mind your language in front of a lady like this. We aren't like the folks in the city; we don't take after each other here. You've just got to eat what's put in front of you.","Therefore, Liu Lao Lao couldn't see through it, so he advised: ""Uncle, don't get angry at me for talking too much: In our village, isn't everyone not honest, eating as much as they want from a big bowl?""","Grannie Liu was shocked by these words and fearful of offending her precious charge. 'Come, my dear,' she said, 'let us not quarrel. After all, we are only poor villagers. Let us not be envious of each other. There is no need for you to go without when we have so much.","Grannie Liu could not bear to see him in this state and ventured a word of advice. 'I hope you won't mind my saying so, but we country folk all know our place and take as much trouble as our share of the work seems to merit. We never try to do more than that."
我们在地头休息时，陈清扬拿斗笠盖住脸，敞开衬衣的领口，马上就睡着了。,"During our break at the edge of the field, Chen Qingyang covered her face with a bamboo hat, opened her shirt collar, and immediately fell asleep.","While we were resting on the ground, Chen Qingyan put his hat over his face and opened the sleeves of his shirt. He immediately fell asleep.","When we rested on the grass, Chen Qingyang covered her face and pulled her shirttails all the way down her arms, sleeping right then.","While resting at the scene of action, Chen Qingyang covered his face with a straw hat and opened the collar of his shirt. He was fast asleep within minutes.","When we rested at the edge of the field, Chen Qingyang covered her face with her palmwood hat and fell asleep, uncurling the collar of her white shirt.","When we were resting by the field, Chen Qingyang held the conical hat over her face, opened the collar of her shirt, and promptly fell asleep.","When we rested at the edge of the field, Chen Qingyang would always drape her conical hat over her face, unbutton the collar of her shirt, and fall asleep right away.","When we were resting, Chen Qingyang covered his head with his hat and opened the collar of his shirt. He fell asleep right away.","When we rested at the start of our journey, Chen Qingyang covered her face with her coolie hat and opened the collar of her shirt, and she fell asleep almost immediately.","When we took a break at the field, Chen Qingyang held the conical hat over her face and unbuttoned the collar of her shirt, falling asleep immediately.","When we stopped to rest in the fields, Chen Qingyang covered her face with her hat and unbuttoned her blouse; she fell asleep at once.","When we rested at the field edge, Chen Qingyang used her palm to cover her face, unbuttoned the top buttons of her shirt, and fell asleep right away.","We rested at the top of the hill, Chen Qingyang covered his face with a bamboo hat, and opened the collar of his robe. He immediately fell asleep.","When we rested at the edge of the field, Chen Qingyang covered her face with a veil and fell asleep with her coat unbuttoned.","When we rested at the edge of the field, Chen Qingyang would cover her face with her hat and unbutton the collar of her shirt; she fell asleep right away."
这时，王琦瑶的心才擂鼓似的跳起来。,In that instant her heart began pounding like a drum.,"At that moment, Wang Guo'er's heart beat like a drum as she leapt up with excitement.",Then her heart began jangling for dear life.,"At this moment, Wang Qiuyue's heart began to beat like a drum.",Only then did Wang Qiyao's heart beat faster.,"At this moment, Wang Qiyao's heart began to beat like a drum.",Only then did Wang Qiyao's heart begin to beat rapidly.,"At that moment, Wang Qiuyao's heart started beating rapidly.",Only then did Wang Qiyao's heart begin to race.,"At this moment, Wang Qiyao's heart began to beat like a drum.",It was then that Wang Qiyao's heart began to race.,Only then did Wang Qiyao's heart begin to pound.,"At this time, Wang Qiaoyao's heart leaped up like a drumbeat.",Only then did her heart begin to beat wildly.,Only then did Wang Qiyao's heart begin to race.
他像喜鹊珍爱覆巢中最后一个卵一样珍爱着我父亲，但是，已经晚一点了，命运为他安排的更残酷的结局，已在前面路口上，胸有成竹地对他冷笑着。,"He loved my father as a magpie loves the last remaining egg in its nest. But by then it was too late, for fate, cold and calculating, had sentenced him to a cruel end that was waiting for him down the road.","He loves me father as much as he does his mother, but now that fate has arranged a harsher end for him, it is already at the crossroads ahead of him. He is smiling coldly towards him.",He was as eager as a chick enjoying its nest as long as possible beforeLaunching his trap: but it was already late. Life's cruel destiny had placed the tragedy of Split NIntercept on the path before him. He smiled coldly at him as he prepared for what was to be his final battle.,He loved my father as if he were cherishing the last egg of a鹊巢，but it was too late for him；the crueler fate that had been arranged for him already lay ahead at the next crossroad，smirking at him with cold foresight.,"He loved your father like a eagle cherishing its nestling eagle. Too late he realized that it was too late; the fate-prepared outcome awaiteds him at the last road, as if smiling coldly.","He cherished my father as a magpie cherishes the last egg in its nest, but alas, it was already too late; the crueler fate had reserved for him lay ahead, smirking coldly at him with confidence.

In this translation, I aimed to maintain the metaphorical language used in the original text, translating ""喜鹊珍爱覆巢中最后一个卵"" as ""a magpie cherishes the last egg in its nest,"" which preserves the imagery of a bird valuing its final egg. The rest of the sentence was also translated to convey the sense of inevitability and the grim fate awaiting the subject.","He treasured Father like a guardian bird protecting its last egg, but it was too late. A cruel fate waited for him at the head of the road, where he would discover, with perfectly calculative smiles, that life had grown tired of him.","He cherishes me like a sparrow's last egg in its nest, but fate has already set a crueler ending for him, and he walks ahead with a smile on his face.","He loved Father with the tenacity of a swallow guarding her nest, but time had nearly run out. Coldly, Fate smiled at him from the road up ahead, where a far more cruel denouement awaited.","He cherished my father as a magpie cherishes the last egg in its nest, but alas, it was already too late; a more cruel fate awaited him, awaiting him with a cold, confident smile at the crossroads ahead.","He cherished my father like a magpie cherishes the last egg in its ruined nest. But it was a little too late: fate had already arranged a crueler end for him, one that was waiting at the next crossroads, grinning coldly at him with a well-thought-out plan.","He treasured Father like a guardian bird protecting its last egg, but it was too late. A crueler twist of fate waited for him up ahead, where it stood with a knowing smile.","He cherishes me, his father, as if he were the last egg in a peng's nest, but unfortunately, a crueler fate has been arranged for him, and a cold, knowing smile is on his face at the crossroads ahead.","Like the last egg in a swallow's nest, he clung to Father with all his heart, but fate had decreed a crueler fate for him. The smile on the road ahead held no comfort for him.","He adored Father as a magpie cherishes the last egg in its shattered nest, but it was too late, for Father's cruel fate was already waiting down the road ahead."
‘谋事在人，成事在天’，咱们谋到了，靠菩萨的保佑，有些机会，也未可知。,"'Man proposes, God disposes. It's up to us to think of something. We must leave it to the good Lord to decide whether He'll help us or not. Who knows, He might give us the opportunity we are looking for.","Work is not about what one does; it's about what the universe will do.' We have succeeded, thanks to the help of the Buddha. Some opportunities may be hidden.","No one can solve the problems himself; he must plan them and shape their outcome. So, if we've found ourselves in a tough situation, it seems likely that Heaven knows what will happen.","In affairs it is man who makes things happen, but sometimes there is a God for help.'","You can always leave it in the hands of 'Mr Chances', but you know there's got to be luck involved. If we manage to arrange everything, and with the help of heaven, create a bit of a chance, who knows?","The plan is in man's hands, but success depends on heaven,"" we've planned as much as we can, relying on the blessings of the gods, there might be some opportunities.","You make your own opportunities and leave the rest to heaven. If we do everything we can, and ask for菩萨's protection, we may get a bit of luck somehow.","""Man proposes, God disposes. We have planned, but success is not guaranteed. With the help of the Buddha's blessings, some opportunities may arise, and we cannot know for sure.""","'Man makes plans, Heaven weaves the web': that's how it is. We made our plans, and now we have to leave it in the hands of Heaven. With a little good luck, who knows what may happen?","Planning is in our hands, but success depends on fate,"" we've planned as much as we can, with the blessings of the gods, there might be some opportunities.","As man proposes, God disposes. We've done our part, and with the blessings of the Buddha, there might be some opportunities, who knows.""","You can make plans and have recourse to fate. We can at least make a go of it, and who knows what will happen?","Events are in people, success is in heaven."" We have planned it, with the blessing of the Bodhisattva, some opportunities, are also unknown.","They say that 'he who undertakes an affair of the heart must leave it to heaven to decide the outcome'. So now we've set our hearts on something, we'll just have to wait and see if heaven is willing.",Human beings plan their actions; Heaven determines their success. We've done all we can; now we must put ourselves under the protection of the Buddha. Who knows? There may be a chance.
“你给我下来，我操死你活妈！”,'I'll fuck your living mother! Climb down from there!',"Get down from me, kill you with my mother!""","Off you go, give me the upper hand! I'm dead as toast!'","You must get down now or I'll kill you!""",Get the hell out of here! I'll make you sorry!',"Please get down for me, I'll fuck you to death, motherfucker!""",Get the fuck off me! I'm going to fuck you so hard you shit your pants!',"I'll kill you alive, mother!",'Get the hell down! I'll fuck your mother dead!',"You get down right now, I'll fuck you to death!""","Get down here, I'll f*ck your living mother!"" 

(Note: This is a direct translation of a very vulgar and offensive phrase. Please be mindful of the context and audience when using or sharing this language.)","Get off me, I'll f**k you so hard you shit your pants!'","Give it to me, I'll kill you alive, you bastard!""",Get the hell out of here. I'll pop you if you don't!',"Get down here, you motherfucker!'"
他们有两儿两女，女孩都嫁出去了，一个儿子在外地当兵，另一个成家后与他们一起过，儿媳妇也是刚生了娃。,"They had two sons and two daughters. The daughters were married and had moved out. One of the sons was a soldier away from home, and the other was married and lived with them. The daughter-in-law had also just given birth.","They have two sons and a daughter, both of whom have been married off. The son is overseas serving his country, while the other has become a family member after their marriage. Their daughter is also having a baby.","Of the four children, two have been married and one is serving in the military abroad. The other has a family of his own where he lives alone. His wife is having her baby right now.","They have two daughters and two sons. The girls are married off. One son is serving overseas, while the other is living with them after getting married. Their daughter-in-law just had a baby.","Their two girls had all been married away, and their son was stationed far away to study in. The other half of their family lived elsewhere; his wife had just given birth to a baby girl.","They have two sons and two daughters. All of their daughters are married. One of their sons is serving in the military out of town, while the other son has married and lives with them, having just had a child.","They had two sons and two daughters; the girls were all married and living away from home. One of the sons lived away in the army, and the other had married a girl who'd just given birth; she and the baby now lived with Mr. Cheng and his wife.","They have two children, two daughters who have already married and moved out, and one son who is serving in the army. The other son lives with them and has recently become a father.","They had two children, a girl and a boy. The girl had married and moved away. The son was away at war, and the other daughter-in-law had just had a baby.","They have two sons and two daughters, all of whom are married except for their youngest daughter who has recently given birth. One son is serving in the military out of town, while the other has moved back to live with them after getting married, and his wife has also just had a child.","They have two sons and two daughters. The girls are married off. One son is serving in the military away from home, while the other son lives with them after getting married. Their daughter-in-law has just had a baby.",The couple had two sons and two daughters. The girls were all married and the son who hadn't left home had recently become a grandfather. The other son was away in the army.,"They have two sons and two daughters. Both daughters got married and left, one son is serving in the military in another place, the other son got married and lives with them, his wife recently gave birth.","They had a son and a daughter, both of whom had left home. Their son was off fighting in the Civil War, and their daughter had married and was now living with her husband's family, who had just welcomed a new baby girl.",They had two sons and two daughters. The girls had married and moved away. One of the sons was serving in the army far from home. The other son had married and still lived with his parents; his wife had just given birth to a baby girl.
为了伪装，两根钢柱上都挂了一些航标和水位标志。,"As a disguise, the pillars were decorated with some navigational markings and water depth indicators.","For disguise, both the two pillars on either side of the road were affixed with flags and water level signs.","To simulate the obstacles, two steel structures had been coated with navigation signs and levels of water.","To disguise the fact that they were steel columns, some buoy markers and water level indicators were attached to both of them.","To deceive spymasters and navigators, the two steel pillars were hung with nautical markers and water-level indicators.","To disguise their purpose, buoys and water level markers were attached to both steel columns.","To disguise their true nature, two steel pillars were decorated with navigation buoys and water level markers.","To disguise, two steel columns had some navigation markers and water level indicators hung on them.","For camouflage, some navigation markers and depth markers were hung on the two pillars.","To disguise them, buoys and water level markers were attached to both steel columns.","For camouflage, both steel pillars are festooned with navigation markers and water-level indicators.","To disguise the structure, two steel pillars were covered with navigation buoys and water-level markers.","To disguise, two steel columns have been hung with navigation markers and water level indicators.","To disguise the purpose of the towers, navigation lights and water level markers were hung from both of the steel pillars.","To disguise their purpose, both pillars were hung with navigation buoys and water-level markers."
海老公道：“偷什么书？”,'Which book?',"Qingyao Zai: 'What book did you steal?""",What's that?',"Hai gong dao: ""Steal what books?""",What do you think you're stealing?',"The Sea Sage asked, ""What book did you steal?""",Which book did you steal?',"""Steal what book?""",'What book were you stealing?',"The Sea Grandmaster asked, ""What book did you steal?""","Hai Gonggong said, 'What book did you steal?'""",Which book did you steal?',"What book are you stealing?""",What book?',What book?'
她说这是女儿做的孽。,She said the culprit was her daughter.,She said that it was her daughter's fault.,She said it was her daughter's sin.,She said it was her daughter's sin.,She said it was her daughter's sin.,She said it was her daughter's misdeeds.,She said it was her daughter's crime.,She said this is her daughter's sin.,She said it was the work of a shameless daughter.,She said it was her daughter's misdeeds.,She says it's the daughter's wrongdoing.,She said it was the daughter's crime.,She said this is a work done by her daughter.,She said it was a woman's sin.,She said it was the fault of her daughter.
一时那男孩翻在上面，一时韦小宝翻在上面，翻了十七八个滚，终于两人互相扭住，呼呼喘气，突然之间，两人不约而同的哈哈大笑，都觉如此扭打十分好玩，慢慢放开了手。,"They struggled for a while, each one gaining the upper hand for a moment, then going under, ringing the changes more than a dozen times, until finally they were in a complete deadlock, panting and staring fixedly at each other. And then suddenly, at exactly the same moment, they both burst out laughing. There was something about the clinch they were in that struck them both as terribly funny. Slowly they let go.","Once upon a time, there was a boy who sat on top of him. Then came the wench Bai Bo. They were wrestling for several hours until they finally twisted their bodies together. Suddenly, both of them laughed out loud. All of a sudden, they all burst out laughing, feeling that this was quite amusing. Slowly, they let go of each other's hands.","In no time at all the unknown boy was back on the ground, while the other three were back again, grappling one on one. Finally they exchanged a few moments' grinning pains, whereupon the two decided that it was time for some rest, so both gave their hands over and took a deep, long breath. Then, having recovered some composure, they laughed at each other, and slowly let go of one another.","At one time the boy was on his back, at another moment Vicky Xiaohong was on his back, they rolled over and over again until finally they were tangled up with each other. They both gasped for breath, and suddenly began laughing, it seemed that playing this kind of wrestling was very funny. They slowly let go of each other's hands.","After a number of gyrations involving twisting over each other's heads, so that they finally stopped breathing but continued laughing, they gradually released one another's grips and laughed once more. It was a moment of truth, in which the fairness of their struggle seemed suddenly to dawn on them both.","For a while the boy was on top, for another while it was Wei Xiaobao who was on top. They rolled around on the ground, tussling, for seventeen or eighteen turns before they finally locked together in a tight embrace, gasping for breath. Suddenly, without any prior agreement, both burst out laughing. They found the roughhousing so amusing that they gradually released their grip on each other.","For some minutes they lay there, the boy on top of Trinket at one moment, Trinket on top of him at another, until finally they began to wrestle properly, each trying to get on top of the other, and it was some time before they both lay panting on the floor, exhausted. Then, suddenly, they both burst out laughing. It had been fun, rolling about on the floor like that, and for a moment they lay there, side by side, hardly believing their own luck.","The boy and the girl flipped on top of each other, each flipping seventeen or eighteen times before they finally locked in a tight embrace, breathing heavily. Suddenly, they both burst out laughing uncontrollably, finding the experience incredibly enjoyable. They slowly released each other's hands and smiled widely.","The boy was the first to get the better of him and had him rolling to and fro across the room. Finally they managed to bring their bodies into alignment once more and sat up, panting, to discover that they had been laughing about their own antics; whereupon they let go of each other's hands and continued to laugh as they sat there, each of them feeling that the game they had been playing was great fun.","At one point the boy was on top, at another it was Wei Xiaobao, and they rolled around for a dozen or so turns. Finally, they clutched each other and began to pant for breath. Suddenly, without any prior agreement, both burst out laughing. They found the wrestling so amusing that they gradually released their grip on each other.","Now it was the boy who was on top, now it was Wei Xiaobao; they rolled over seventeen or eighteen times until finally they held each other fast, panting for breath. Suddenly they both burst out laughing at the same time, finding this sort of wrestling great fun; gradually they released their grip on each other.","At times the boy was on top, at other times Trinket was on top, as they rolled about on the floor like puppies. Finally they were both on their feet, panting and laughing. To their surprise, they found that what had started as a bit of fun was now an enjoyable game. They let go of each other's clothes and lay side by side, still chuckling.","At one time, that boy was rolling on top, at one time Wei Xiaobao was rolling on top, they rolled around seventeen to eight times, and finally they twisted around and held each other, panting heavily. Suddenly, they laughed heartily together without any prior agreement. They felt that twisting and wrestling was extremely fun. They gradually let go of each other's hands.","Trinket and the boy rolled and tussled, each trying to pin the other to the floor. After a while they seemed to get tired of this game and slowed down, until at last they stopped, laughed, and, as if by mutual consent, slowly broke away from each other.","They wrestled furiously for a while, each in turn being uppermost, until finally they lay gasping for breath, whereupon both burst out laughing, for no particular reason except that the whole business had become so hilarious. In the end they both let go."
