chinese,english,unsloth/Qwen2-0.5B-Instruct-bnb-4bit-run-1,unsloth/Qwen2-0.5B-Instruct-bnb-4bit-run-1(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit-run-1,unsloth/Qwen2-1.5B-Instruct-bnb-4bit-run-1(finetuned),unsloth/Qwen2-0.5B-Instruct-bnb-4bit,unsloth/Qwen2-0.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit,unsloth/Qwen2-1.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-0.5B-Instruct
我就这样走掉了。,So that was the way I left.,I just walked away like this.,That was how I disappeared.,I just walked away like that.,I walked away then.,I just walked away like that.,That was how I disappeared.,I just walked away like that.,I walked away then.,I walked away like this.
一直到我离开云南，也没人让我交还蓑衣。,"Even when I left Yunnan, no one asked me to return the palm-bark rain capes.","By the time I left Yunnan Province, no one allowed me to return the poncho.",Not until I left Yunnan did someone ask me to carry it on.,I didn't have to return my fishing net until I left Yunnan Province.,Until I left Yunnan no one asked me to return my rain cape.,"Until I left Yunnan Province, no one gave me back the cloak.","Until I left Yunnan, nobody returned the rain-cow material that I had stolen.",I never had to return the cloak until I left Yunnan Province.,"I didn't have to hand it back to them, since they never asked for it again.","Until I left Yunnan Province, no one gave me permission to return the cloak."
斯坦顿上校已经离开了，汪淼拿起了他放在草帽上的望远镜，克服着双手的颤抖观察被“飞刃”切割成四十多片的“审判日”号。,"Colonel Stanton had already left. Wang picked up the binoculars he'd left on top of his hat. Overcoming his trembling hands, he observed Judgment Day.","Stanley has left, and Liu Ma picked up his telescope and observed the forty-thousandth anniversary of the “审判日” on his hands.",Colonel Stanton was already gone by the time Wang picked up his telescope. He used it to observe the forty-thousandth slice of Judgment Day.,"Stanton, the colonel, had already left, and Wang Miao picked up the telescope he’d placed on his cap and observed the “Judgment Day” with trembling hands as it was cut into over forty pieces by the flying blades.","Colonel Stanton had already left, but Wang took the telescope from his hand and used it to observe Judgment Day's broken pieces, forty-five of them, sliced apart by the Flying Blade swordsman.","Stanley has left, but Han Meng took his binoculars from where he placed them on his hat and looked at the 400-page ""Fleeting Judgment"" as it was being cut by the ""Blade of Death.""","Colonel Stanton was gone by the time Wang got there. Since he wasn't back yet, Wang used the telescope's mirror hand to compensate for his own struggles to see the分割得十四分之一屏幕的「审判日」号。",Stanton had already left. Wang Miao picked up the telescope he’d put on his cap and looked at the “Judgment Day” with its 40-odd pieces cut by the ‘Blade’ through a trembling hand.,"Colonel Stanton had left, but Wang took the telescope from his hat and, overcoming the trembling in his hands, continued to observe the Judgment Day ship, now sliced into nearly forty-five pieces.","Stanton has left, and Yang Maosan took his telescope and held it up to him as he tried to overcome his trembling hands to observe forty-thousand pieces of the “Falconer” blade cut from the “Judgment Day” ship."
她要走了……,If she leaves . . .,She's leaving...,She's going to leave....,She is leaving...,She was about to leave. . . .,She is going…,She's going to leave . . .,She is going away...,She was going to leave me....,She is going...
说着又将匕首移近数寸。,While he was saying this he managed to move the dagger a few inches nearer.,And he said again that he would move his dagger just a little closer.,He moved in front of her inches from the edge.,He said and moved his sword close again.,He moved the dagger a couple of inches away.,"Then he took his sword near six inches from where it was.""",He moved the dagger closer by a crack.,He moved his sword closer by a few inches again.,She moved the dagger nearer.,"Speaking again, he moved his dagger just a few inches closer."""
幸而天气尚早，人都未起，从后门一径跑回家去。,"Fortunately no one was about at that early hour, and he was able to slip out of the rear entrance of the mansion and run back home unseen.","Fortunately it is early, people have not left, and I have run home through the back door.",It was early still but nobody else was around and he just jogs home through the back gate.,"Fortunately, it was early morning, so no one had yet risen from their beds, so they ran back home through the back door.",Fortunately it was still early enough to go unnoticed. He sprinted through the back gate and headed home as fast as he could.,"Fortunately it is early on the weather. People have not left, I ran straight through the back door home.","Fortunately the sun was still very early and nobody had gotten out since it had been a relatively mild day, and they had simply rushed home through the back gate.","Fortunately, it was still early, so no one had woken up yet, and he ran home through the back door.",Fortunately it was still early and no one was yet at school. He darted across to his own house in the back gate.,"Fortunately the weather is early, people have not yet risen, I took a straight route home from behind the door."
其实伟大友谊不真也不假，就如世上一切东西一样，你信它是真，它就真下去。 你疑它是假，它就是假的。 我的话也半真不假。 但是我随时准备兑现我的话，哪怕天崩地裂也不退却。,"Actually, the great friendship was neither true nor false, like everything else in the world. It was true if you believed it, and false if you didn't; my words were also neither true nor false, but I was prepared to stand by my words anytime and wouldn't back off even if the sky collapsed and the earth cracked open.","In fact, love is not just true or false; it is like everything around us, and you believe that it is true, then it becomes true. You doubt its truth, so it will be false. My words are half true. But I am always ready to fulfill my word, even if the heavens collapse or the world disintegrates.","The great friendship was not fake or false; just like everything in the world. You believed it to be real; it became real. I could be real, too, either partially true or partially false. But I was also ready to fulfill my word: whatever happens, will happen, no matter how huge the earth falls or how destructive the lightning.","Actually, great friendships are not real or false. Just as with all things, if you believe it is true, then it will continue to be true. If you think it is fake, then it will become fake. My words are half true. But I am always prepared to fulfill my word, even when the earth crumbles and the sky falls apart.","Actually, I had no real friendship, nor was my friendship at all realistic—that is, like everything else in this world, it hung in the balance depending on whether you placed your trust in it or not. If you suspected that it was fake, it would definitely put on a fake front; if you believed it was true, it would also be true for you. My words would then be neither completely true nor false, but true enough to keep my word whatever happened.","In reality, a friendship that is true and not false is like everything around us, just as all things in the world exist and change without ever changing their state. You trust it to be real, so it will remain true; you doubt its truth, and it will cease to be true. My words are half true. But I am always prepared to fulfill my words, even if the Earth collapses or the sun breaks.","The great friendship was not fake or false; like everything in the world, it is trustworthily constructed. If you believe it is real, it will be real, no matter how you try hard to convince yourself it is not. But I am just as certain as ever that I will fulfill my word no matter what. Even if the universe falls on your feet now, not a single stone will fall away from my word.","Actually, great friendships are not true or false at all. Just like everything else, if you believe it is real, it will continue to be so. If you think it is false, it will indeed become false. My words are both true and false. But I am ready to keep my word no matter what happens, even if the world falls apart.","Actually, I had a wonderful friendship that was neither true nor fake, like everything else in this world. If you believed it was real, it really would be; if you suspected it was not real, it would be false no matter what. My words were true at half strength, but I was ready to break the earth apart if I had to keep a promise.","In fact, great friendship is not genuine nor false; it is true whether you believe it or not. It will be true for sure no matter what you think of it. My words are half real. But I am ready to fulfill them if things go wrong, even if the universe collapses or we die."
她们惴惴的，心想是来错了，吴佩珍更是愧疚有加，不敢看王琦瑶的脸色。,"They were both getting anxious, feeling that the whole trip was a mistake. Wu Peizhen could hardly bring herself to look Wang Qiyao in the eye.","They were nervously, thinking that they had gone wrong; and Gao Yuhong was even more ashamed and unable to look at Wang Guo'er's face.",The girls were all extremely nervous. All of them suspected that their trips had been incorrect—that Wu Peizhen was even more embarrassed for them than she was for having to see her. She's added extra humility by not looking at Wang Qiyao's face.,"They were anxious as they thought they had come to the wrong place. Wu Peizhen felt even more guilty than before, not daring to look at Wang Qiya's face.","The girls were anxious about their visit; Wu Peizhen, in particular, was guilty of self-pitying thoughts upon their arrival. They不敢看王琦瑶的脸。","She is trembling, thinking she has gone wrong; Gugu also felt guilty, unable to look at Wang Guo'er's face.","The girls were all very nervous, adding their share of blame to their mistakes when Wang Qiyao didn't show as she was supposed to.",They were anxious. They thought they had come to the wrong place. Ruan Peizhen was even more ashamed of herself. She dared not look at Wang Qi瑶's face.,"They were all anxious about their visit; Wu Peizhen, in particular, was plagued by self-criticizing voices. Seeing Wang Qiyao's reserved expression, she felt guilty.","She was nervous. She thought it was a mistake, and Gao Guojie felt guilty for not seeing her face."
它们又辽阔又密实．有些像农人撒播然后丰收的麦田，还有些像原始森林，自生自灭的。,"At once dense and wide-ranging, they resemble rye fields where the farmers, having scattered their seeds, are now harvesting a rich crop. Then again, they are a little like a pristine forest, living and dying according to its own cycle.","They are vast and dense. There are some like a field of wheat after they have been plowed up, while there are others that are like an ancient forest that is born and dies.","它们广阔辽远,却也 密实紧凑 ,有些 like the fields scattered like a farmer's field sowing and harvesting the produce. The rest of the forest would starve if they grew too many.","They are both vast and densely populated. Some look like a farmer spreading seeds that then produce crops, while others resemble dense forests that grow on their own.","They seem both infinite and not, like the field where farmers spread seed and harvest abundantly, or like a forest where life springs up on its own.","It is wide and dense. Some resemble a field of wheat after it has been plowed, while others resemble a forest that is born and dies naturally.","它们广阔辽远,却也极为紧密紧凑,有些像耕作过的农田,有些则像原始的森林,是一声不息的丛林巨龙。","They are vast and dense. Some resemble fields of wheat where farmers scatter seeds and then harvest them, while others are like primeval forests that grow wild.","They seem infinite yet not entirely empty, like a farmer sowing seed for future harvests; at times they remind one of a virgin forest, where everything grows and thrives by itself.","They are wide and dense. Some resemble fields plowed by farmers and then harvested, while others resemble forests that have died from nature themselves."
薛蟠连忙打恭作揖赔不是，又求：“别难为了小子，都是我央及他去的。”,Xue Pan was by this time being apologetic — bowing repeatedly and pumping his hands to show how sorry he was: 'Don't blame the lad!' he said. 'It wasn't his fault. I talked him into it.',"Speng Bao hurriedly bowed and apologized for his fault, then asked: ""Don't be too hard on your little boy. I brought him here by my own accord.""","Instead he gave his best compliments and begged for leniency on the part of his master, 'Mr Chai, it is you who are doing all the work here. I was only trying to help.'","Xuefeng quickly bowed and made obeisance as if in apology. He added: ""It's all my fault. I had to get him to do it.""","Xue Pan immediately offered his courteous salutations and apologised, reeling back again on the要求： 'Please don't suffer a little lad like me! It's my fault he's in a bad mood. I asked him to go get it for you.'","Peng Bao hurriedly bowed down and apologized for being impolite, saying, ""I'm sorry that you've been so troublesome to me.""",Instead Trinket made entreaties for his pardon and pleaded for be免小辈。,"Xuezhuang hurriedly bowed and said he was sorry. He asked: ""Don't make it difficult for me. It's all because I had to ask him.""","Xue Pan instantaneously kowtowed and made all manner of apologies. 'It wasn't me that caused all this trouble,' he said. 'I asked him to go and get it for me. It was very hard work getting him here.'","Peng Bao hurriedly bowed in apology, then added: ""Don't be difficult for him; I've come to arrange things for him."""
闷来时敛额，行去几回眸。,"Yet, as my brow contracted with new care, Was there not one who, parting, turned to stare?","The eyes close when he rises, and he looks back several times.",Bottled time收敛双眼，多次看你母亲,"When he came, he would lower his head, and when he left, he would look back several times.","In come they came, with faces down, And out they went, with many a tear.","In silence, he turns his head up and looks back several times.","Boudoir with envelope clasped up, when on journey or through?","When it rains, he covers his head; when he goes away, he looks back several times.",Sometimes she would look down and bid him good-bye with a few hurried strides.,The eyes of a man who is concealing his head when he looks at something or someone.
奶奶用亢奋的眼睛，看着余占鳌。,She stared at Yu Zhan'ao with a feverish look in her eyes.,Grandmother looks at Xu Xiu in a passionate manner.,Her eyes glowed with excitement as Yu Zhan'ao raised his.,Grandma stared at Yu Qianliu with excited eyes.,Grandma focused her terrified eyes on Yu Zhan'ao.,The old lady was looking at Zhu Zhaowu with a determined expression.,She stared at Yu Zhan'ao with a rapt gaze.,Grandma stared at him with her eyes wide with excitement.,Grandma looked up with eager eyes.,The grandmother looked at Li Quanxue with a determined gaze.
鸽群飞翔时，望着波涛连天的弄堂的屋瓦，心是一刺刺的疼痛。,"The pigeons gaze down at the outstretching billows of roof tiles as they take to the air, and their hearts are stabbed with pain.","As a bird perches on its perch in a tall building, its heart is torn by pain as it gazes upon the steep slope of the rooftops above.","As they flew across the street, the flocks of pigeons stared at the rolling waves that covered each longtang and made it feel like a stabbing pain.","When the flocks of pigeons fly by, they look at the roof tiles of the narrow lanes with waves stretching out in the sky, their hearts ache like stings.","As they flew through the sky, their eyes fixed on the roof tiles of the longtang buildings, they were gripped by stabbing pain.","When a bird perches on the rooftops of a building, his heart is like a sharp pain.","As they flew around, the soaring white clouds cast a wall of shingles between them and the longtang inside their apartments, they felt a stabbing pain.","While the flocks of pigeons were flying, they gazed at the rooftops of the alleyways covered with waves, their hearts filled with pain.","As they soared through the skies, their hearts pierced by the sight of the rolling walls of the longtang neighborhoods.","While a bird flaps its wings as it glides over rooftops, the pain is palpable in my heart as I look at the roof tiles of those houses on each floor."
“爹，咱到村里去吧。”父亲说。,"'Let's go into the village, Dad,' Father said.","Father, let's go to the village.""","Dad, let's go to the village for it.' Father said.","Father, let's go to the village,"" said his father.","Dad, let's go to the village,' Father said.","Father, let's go to the village.""","Dad, let's go to the village for it.' Father said.","Father, let's go to the village."" The father said.","Dad, let's go to the village.' Father said.","Father, let's go to the village."""
她曾经盼望着早日成婚，但从女伴的话语中隐隐约约听到单家公子是个麻风病患者，奶奶的心凉了，奶奶向她的父母诉说着心中的忧虑。 外曾祖父遮遮掩掩不回答，外曾祖母把奶奶的女伴们痛骂一顿，其意大概是说狐狸吃不到葡萄就说葡萄是酸的之类。,"Eager to marry, she heard innuendos from her girlfriends that the Shan boy was afflicted with leprosy, and her dreams began to evaporate. Yet, when she shared her anxieties with her parents, Great-Granddad hemmed and hawed, while Great-Grandma scolded the girlfriends, accusing them of sour grapes.","She had hoped to marry soon, but her words from a female companion hinted at an incurable illness for Senior Brother Xuan of the Blind Family, causing her grandmother's heart to ache. Her parents were unable to speak to her about this, since their grandfather had remained silent throughout the war. Her auntie was even more insistent, saying that it was not right to treat others like children.","She had longed to tie a marriage contract, but from what Female Friend said she began to fear that her grandfather was sick and would refuse to answer her questions when she asked about his health. Her grandfather had initially answered her with a mixture of anger and disgust, making it very clear that Grandmother should be angry at the female page逢蒙不好。 Her mother had screamed at her cousin for a message to be given when she heard her cousin's words. It was probably: 'Foe the wine is worse than the apple (if you've been eaten by a fox).'","She had once longed for marriage, but from her female companion’s vague whisper she heard that Mr. Single was a leprosy patient, which chilled her grandmother’s heart, and she told her parents of her worries. The old grandfather didn’t answer, nor did the old aunt scold her female companion as if saying, “The fox can’t eat the grapes because they are sour.”","She had long wanted to get married, but gradually came to realize that the gentlemanly Shan family patient was leprous. Granddad didn't say anything about this concern to his parents, who refused to listen; they blamed Grandma for being lured by the attractive company of a wolf's daughter rather than concentrating on her own feelings.","She had hoped to marry soon, but from what her female companion said she could faintly hear that Sun Xueqin was a patient with leprosy. Her grandmother's heart softened, and she told her parents about her fears. The grandfather, who was hiding his head under a mask, did not answer when he heard of her. The mother, who was not answering either, was trying to express something to the other woman. ""Foolish people eat grapes because they think they're sour.""","She had longed to tie a ribbon round her ringbearer's waist, but as female companions described their new mistress with disdain, she began to feel cold on inside her heart. Her grandfather, who at one time had wished to be fatherless, told her father that the young Lord of the Chang brothers was a leper. The old woman ordered her to send her there, and Granddad shouted at his girls: 'Husbands! Don't you let your girlfriends cheat you! It's like a girl who hasn't been had on by her husband will say when she sees her boyfellow after she leaves home—' and then she stomped her hands and feet against the women's forearms. That was什么意思， ""Leep' the fox doesn't eat grapes, it's like a piglet's said when he sees his lover standing in the doorway—' She wanted her parentsto understand how it felt to be left out while her aunties loved her. The old woman had imagined that if her cousin were healthy she would have been fatherless, and had now changed her mind on that front. Her parents had warned her that being left out could lead to disappointment; they had argued about whether she should continue to be single or not. Her grandmother had boiled down the issue to the point where she said, 'If the little leper were healthy I'd probably stay single, but because I'm a son of a fucking god I want to.'","She had longed for marriage since childhood but from her companion's words she heard that Mr. Single was a leper and her grandmother's heart froze. She told her parents about her worries. The grandfather of her aunt did not reply and his mother scolded her companions severely as if saying something like ""It is sour even though it looks good.""","She had long wanted to get married to him as soon as possible, but gradually, as she heard her friends disparage Shan Cheng's son as a leper, her heart sank. When Granddad and Grandma informed her that they were worried about the cost of the wedding, he refused to speak to them; finally, he scolded her mother for having a lover, saying that if she hadn't slept with that scoundrel his son wouldn't have leprosy.","She longed for marriage but she was told by her female companions that Xiao Feng, the blind man who is a member of the Jiang Family, had died in his sleep. Her grandmother felt very sad when she heard this from her mother. The father of her ancestors was too quiet and did not answer the question. The mother of her grandparents, however, said that if you eat something that you do not like, it must be bad."
我逃跑是晚上的事。,In the evening I made my escape.,It is a matter of fact that I fled at night.,My running was late in the evening.,It was late at night when I fled.,It all changed at night.,It was a matter of night.,My running was late in the evening.,It was late at night when I ran away.,The escape of my life had taken place at night.,I was running away at night.
“我想观测宇宙背景辐射的整体波动。”,'I want to see the overall fluctuation in the cosmic microwave background.',"I want to observe the entire fluctuation of the cosmic background radiation.""",I was thinking of observing the overall fluctuation of cosmic microwave background.',"I want to observe the overall fluctuations of cosmic background radiation.""",I wanted to observe the fluctuation in the cosmic microwave background.',"I want to observe the overall wave of cosmic background radiation.""",I've been thinking about observing the overall fluctuation of the cosmic microwave background.',"I want to observe the overall fluctuations of cosmic background radiation.""",I want to observe the fluctuation of the cosmic microwave background.',"I want to observe the overall oscillation of the cosmic background radiation."""
留良道：“正是。”,"'You are absolutely right,' said Lü.","Liang Yi: ""Exactly.""","Precisely,' continued Wang Lili.","Liu Lang said, ""Just so.""","Yes,' said Whiskers.","Lei Fuhai: ""It is true.""","Yes,' said Lü.","Luo Lang said, ""Just so.""","Yes,' said Vanity.","Liang Yi said: ""It is right."""
《汉书》上说：‘秦失其鹿，天下共逐之。’,In the History of the Han Dynasty it says 'Qin lost the deer and the world went chasing after it'.,"The Book of Xunyi says: ‘The Han people chased after the turtle.'""",The CEU deer was missing. The people of the day secretly pursued her.,"The Han Book says: ‘After Qin lost its deer, all of China chased after it.’","Section 106 of The History of the Han Dynasty says, 'In the year of the Dragon's Nose (an unlucky year) the Qin Emperor lost control of the deer race and they were all chased down.'","The passage says: ""In the Book of Chronicles, it is said that 'the eagle has been lost.'""","And if the Qin army should have lost their deer and all the people had gathered to drive them away, there would be the said book.'",The Han Book says: “Qin lost its sheep; all the world chased it.”,"Scan of the Records of the Han dynasty records: 'In year fourth [BC 310], the deer of Qin was abandoned there to be chased down by all the peoples of the Empire.","The passage in The Book of Chronicles says: ""In the reign of Qin, all the people chased after it."""
再看王琦瑶，眼前便有些发虚，焦点没对准似的，恍惚间，他看见了三十多年前的那个影。,"His vision grew blurry as he stared at Wang Qiyao, as if his eyes couldn't focus properly, and through that hazy vision he saw an image of her from more than three decades ago.","Looking at Wang Yifan now, there was a sense of confusion. Suddenly, he saw that it was thirty years ago.","As he repeated this task in front of Wang Qiyao, the sight seemed to dimplexify; all she could see was her past, narrowed down to the date of her birth but not even thirty years old.","Look at Wang Qiaohuo again, and my focus seems off. I see a blurry image of him from thirty years ago.""","Wang Qiyao appeared small and meagre in these fresh new lights; his mind was unable to focus on the present, and he saw, for a moment, the actress from the old days.","Looking at Ouyang Qian, he was a little confused. Suddenly, his focus shifted from him as if it was a blur; he saw thirty years ago that image.","As he continued to look, his mind dimed down until all he saw was the shadow of that old woman.","When he looked at Wang Qiuyue again, his focus was off. He saw something from thirty years ago in a blurry way.","When he looked at her once again, a distance seemed to have been erected between them, and he was barely in focus. He saw the likeness to the actor from thirty years earlier.","Look at Wang Yuezhou again, but his focus is not on him. Suddenly, he saw that thirty years ago."
还使暗淡生辉。,It had the power to make what was dark and dismal glimmer with light.,"Still, a faint glow is born.""",A glooming darkness produces this little gem.',It also makes the dim light bright again.,Even in darkness your beauty still shines.',And it is like a light that makes things bright again.,No glooming darkness but only sunny advantage.,And it made dull things shine.,"It gives everything, including everything that is dark, a shimmer of distinction.","Yet it brings forth a glow."""
父亲又想起大约七八年前的一个晚上，我奶奶喝醉了酒，在我家烧酒作坊的院子里，有一个高粱叶子垛，奶奶倚在草垛上，搂住罗汉大爷的肩，呢呢喃喃地说：“大叔…… 你别走。,"Then he thought back to a night some seven or eight years earlier, when Grandma, drunk at the time, had stood in the distillery yard beside a pile of sorghum leaves, her arms around Uncle Arhat's shoulders. 'Uncle . . . don't leave,' she pleaded.","My father remembered that he had recalled a night about eight years ago when my grandmother had drunk too much wine while I was working at the brewery's cellar yard. She sat on a bough over the corn stalks, holding onto his hand with a soft whisper, ""Tao… you don't go.""","Father again recalled another night during which his grandmother drunkenly arrived at our family distillery's courtyard. A high-balled stone had sheathed the path, where Grandma leaned against it and, with one fine hand, entombed Arhat small and big. 'Tukusai . . . don't go . . .'","The father remembered that about seven or eight years ago, at a night when I was very young, my grandmother had drunk too much. In the courtyard of our distillery, there was a bunch of corn leaves. My grandmother was leaning against the corn leaves, holding on to Uncle Han’s shoulder. She said, “Uncle… Don’t leave.”","Father also remembered a night not that long ago, maybe the year before last. Grandma had been drunk at the distillery in my village. There was a clump of sorghum beside her, she leaned against the pile, gripping Uncle Arhat's shoulder. She moaned, 'Comrade, don't leave me....","Father remembered the night he had drunk too much last seven years ago when my grandmother was drunk at my grandfather's workshop in our home yard, a tall stalk of wheat. My grandmother sat on the grass beside me, rubbing her arm around the monk. ""Old man... don't go.""","Father also recalled another night more than a dozen days earlier, when Grandma drunkenly arrived at our distillery's courtyard, hugging Rong Shi-ge, her head propped on a post, and whispered in her ear, 'Uncle . . . don't leave me.","The father thought of a night about seven or eight years ago, when my grandmother was drunk. She stood by a high粱 leaf pile in my home distillery yard, holding her head against the grass, saying something to Uncle Han: ""Uncle, don't go.""","Father's thoughts were interrupted by a vague memory from some evening not far past. His Grandma had been drunk one night. She had stumbled into the sorghum pile in our distillery yard, held onto Uncle Arhat as she fell, and moaned, 'Uncle . . . don't leave me!","The father remembered fondly the night when he had been drunk at the age of seven, that was the night I drank at my grandmother's house. She was sitting on a high column of corn stalks, her arms wrapped around the head of a monk, and she whispered softly: ""Grandpa... don't go away."""
奶奶那年身高一米六零，体重六十公斤，上穿碎花洋布褂子，下穿绿色缎裤，脚脖子上扎着深红色的绸带子。,"That year Grandma was five feet four inches tall and weighed about 130 pounds. She was wearing a cotton print jacket over green satin trousers, with scarlet bands of silk tied around her ankles.","My grandmother was one meter six inches tall, weighed sixty kilograms. She wore a striped sailor's jacket, green gauzy pants, and her feet were tied with red lace ties.","Grandma was ten years shy of twenty feet tall (one inch zero) and weighed 60 pounds. In her jacket she wore a floral pattern, paired with dark green pleated pants that decorated her knees with.","Grandma was 160 cm tall when she was that age and weighed 60 kg. She wore a blue cotton dress, green silk stockings, and red ribbon around her ankles.","At that time she was one sixty, or so; her weight was sixty kilograms. She wore a pink flowered cotton shirt over a green silk skirt, with a red silk tie wrapped around her ankles.","My grandmother was 6 feet tall when she was a child, weighing 60 kg at her heaviest, wearing a pair of striped woolen overalls. She wore green silk stockings underneath her clothes. On her ankles were red silk ties.","Grandma was a height of one sixteen, with a weight of sixty pounds. She wore a loose chevron skirt of cross-stitch fabric, green slacks of green cross-stitch material, and her feet were shackled with a red ribbon of dark color.",Grandma was six feet tall when she was 60 kg. She wore a blue cotton dress with flowers on it and green silk pants. Her ankles were tied with a red silk band.,"She was one meter sixty tall and forty-six kilograms overweight. She wore a pink flowered cotton shirt over a green satin skirt, with a red silk tie around her waist.","In her prime, when she was 60 years old, she was 1.6 meters tall and weighed 60 kilograms. She wore a striped cotton shirt with floral prints, and pants of green silk material that were green with a red belt around the waist. Her feet had a red tassel on her ankles."
奶奶身上汗水淋漓。,Grandma was drenched with sweat.,The sweat stains her clothes.,Misty sweat drenched her clothes.,Grandma's sweat was dripping down her body.,She was sweating heavily.,Grandma is dripping with sweat.,Dightingly soaked head to toe with sweat.,Grandma's sweat was dripping down her body.,She was sweating profusely.,Her clothes were dripping with sweat.
一声枪响。,A shot rang out.,A gunshot rang out.,A gunshot.,A gunshot.,A shooting sound.,A shot was fired.,A gunshot.,A gunshot.,A shot.,A gunshot rang out.
可这个笨蛋还来添乱，在我背上扑腾起来，让我放她下去。,"But the idiot picked that moment to give me trouble, flopping around on my back and demanding that I put her down.","This fool is still causing trouble on my back, and he's trying to get me down.",But this dumb bastard got started moving on her back and flapped his wings so she had to let him go.,"This fool is making things difficult for me, and he's trying to jump on my back, so I let him down.",But this stupid one was coming to cause more trouble. He flapped on my back until I finally let him go.,"The stupid fool is still causing me trouble. He's dragging her up on my back, so I have to get her down for you.","But this dumb bastard was now chasing after her, fidgeting behind me, and I had to let him下来。","This fool is adding more trouble, fluttering around my back, forcing me to release her.","But this stupid one was now coming along for the ride, flapping his wings wildly to get my attention and urging me to release him.","This is a fool who has come along for the ride, and he's dragging me down on his back as he leaps about like a mouse."
程先生也不与她争辩，两人在附近找了个小饭馆，坐进去，点好菜。,"Mr. Cheng refused to argue with her. They found a small restaurant nearby, went in, and ordered a few dishes.","Mr. Chen did not argue with her either, they found a small restaurant nearby and sat there, ordering the dishes.","Mr. Cheng took the old woman more or less at her word and they went back to dine in a small restaurant nearby, getting everything arranged.","Cheng didn’t argue with her either, so they went into a small restaurant nearby and ordered some food.","Mr. Cheng did not argue with her. Near a small restaurant they found a nearby apartment, ordered some dishes, and sat down.",Mr. Chen did not argue with her either. He found a small restaurant nearby and sat there. They ordered their food.,"Mr. Cheng didn't argue with her either. They found a small restaurant in the nearby town and sat down, then ordered their dishes.","Mr Cheng did not argue with her either, so they found a small restaurant nearby and sat down. They ordered some food.","Mr. Cheng refused to argue with her, and they went to a small restaurant near the studio where they ordered some dishes.",程先生没有和她争论，两人在附近找到了一家小餐馆，坐下后点了菜。
但是我偏说，陈清扬就是破鞋，而且这一点毋庸置疑。,"Yet I insisted on saying that Chen Qingyang was damaged goods, and that this was beyond question.","But I said that Chen Qingyuan was a shoebreaker, and this is true.","However, I insisted that Chen Qingyang was damaged goods and that point unquestionary.","But I say that Chen Qingyang is a loose woman, and this is indisputable.","However, I insisted that Chen Qingyang was damaged goods, and this point was indisputable.","However, I said that Chen Quanping is a shoebreaker and this was definitely true.","However, I insisted that Chen Qingyang was damaged goods and that point unquestionary.","But I said that Chen Qingyang is a loose woman, and there is no doubt about it.","But I insisted that Chen Qingyang was damaged goods, and I had evidence to prove it.",But I say that Chen Qingyun is a shoebreaker. And this isn't just a matter of fact.
陈清扬坐在椅子上听着风声，回想起以往发生的事情，对一切都起了怀疑。,"Sitting in a chair and listening to the sound of the wind, Chen Qingyang would look back at what happened and begin to have doubts about everything.","Yehong Yang sits on the chair and listens to the wind. She recalls all the things that have happened before, but she is doubtful about everything.",Chen Qingyang sat in her chair listening to the wind as if breathing through her teeth. At one time she wondered whether everything was false.,Chen Qingyang sat on a chair listening to the wind. She recalled past events and became suspicious of everything.,Chen Qingyang sat on the chair listening to the wind outside. She recalled all that had happened before and wondered about everything.,"Huang Qianping sits on a chair listening to wind sounds. She recalls all that happened previously, and is questioning everything.",Chen Qingyang sat in her chair and listened to the wind as she wondered whether everything was false.,"Chen Qingyang sat on the chair listening to the wind, recalling events that had happened in the past, and questioning everything.",Chen Qingyang sat on the chair listening to the wind noise and recalled all the things that had happened before. She began to doubt everything.,Huang Qingyan sits on a chair listening to wind sounds. She recalls all the things that had happened before and starts to doubt them.
她的光艳照人里有一些天真，也有一些沧桑，杂糅在一起，是哀绝的美。,"There was an innocence about her heavy makeup and also a certain world-weariness, blended together to create a desolate kind of beauty.","There is a kind of beauty that her bright light has produced. There were also some things that seemed young and old, mixed together, which was sad but beautiful.","Their radiance was dazzling and their sensibility wrinklesned. Combined, they gave a真切画面，这画面不是悼亡曲那种，也不是离愁赋的那种，而是真挚的情谊。","Her radiant beauty is mixed with some innocence and some woe, which makes her a beautiful yet tragic woman.","The brilliance of her light is charming, but it was acquired at a cost: mixed in with that dazzling beauty is something sad and familiar.","Her beauty is a mixture of sweetness and sorrow, mixed together.","Her radiance was tinged with a touch of naivety, and has a pastiment—that is, it dates her through the centuries.","Her radiant beauty has a certain purity mixed with some sadness, which makes her a beautiful tragedy.","The sunshine surrounding her was charming, but it was tinged with old age, creating a beautiful tragedy.","Her beauty shines with a certain innocence, but also with some wrinkles, mixed up together, it is a tragic beauty."
