chinese	english
直到差十分钟凌晨一点时，沙瑞山才接受了汪淼的多次提议，起身返回实验室。	It was only at ten to one in the morning that Sha finally gave in to Wang's repeated pleas to go back to the lab.
话说凤姐正与平儿说话，只见有人回说：“瑞大爷来了。”	Jia Rui's arrival was announced while Xi-feng and Patience were still talking about him.
他唠叨说，这件事很不对，不能什么人手里都有枪。 应该和队里说一下，把王二的枪没收掉。	He went on about how it was not right that everyone could have a gun, and that someone had to talk to the team leader and confiscate Wang Er's gun.
钱老板道：“请韦香主借一把刀使。”	'Could you lend me a knife, Master?' said Butcher Qian.
他在宝玉房中比别人不同，如今端了茶来，宝玉又在旁边坐着，便忙站起来，笑道：“姐姐怎么给我倒起茶来?	He was also aware that she was in some way more important than the other maids and that to be waited on by her in the seated presence of her master was an honour. Jumping hastily to his feet he addressed her with a modest smile: 'You shouldn't pour tea for me, Miss!
王文义口里咝咝地响着，随即不咳了。	Wang wheezed and gasped, but the coughing stopped.
那样多半我也活不到现在了。	Then most likely I wouldn't be around today.
月光透过窗帘，正照在他的脸上，真是清凉如水。	The moon shining through the curtains on his face was cool as water.
我走过去，把她用一个肩膀扛起来，径直走过河才放下来。	I walked over to her, hoisted her onto my shoulder, went right across the river, and then put her down.
韦小宝正要回答，忽见地下有个黑影掠过，一抬头，但见一只硕大无朋的大鹰从墙头飞了进来，轻轻落地。	As Trinket was on the point of answering her, a shadow appeared on the ground and he looked up to see a dark figure like a great eagle floating down from the top of the garden wall and softly alighting at the foot of it.
只见那边山坡上两只小鹿儿箭也似的跑来。	As he did so, a pair of fawns came running like the wind from the hillside opposite.
爷爷眯着眼，仰望着缀着十几颗璀璨星辰的混沌渺茫的八月的黄昏的天空，长啸一声，对我父亲说：“豆官，你那枪里，还有火吗？”	Granddad squinted into the murky, late-afternoon August sky, in which a dozen or so stars shone brightly, and let out a long howl before turning to Father. 'Are there bullets in your gun, Douguan?'
他放下毛笔，取过一把剪银子的剪刀，将剪刀轻轻放在小郡主左颊，喝道：“你再不睁眼，我要刻花了！	Then he laid the brush down and took up a pair of silver-shears, the point of which he applied lightly to her left cheek. 'Now, if you don't open your eyes, I'll start cutting.
也有那么一两个好事者，追根溯源来找王琦瑶，写一些报屁股文章，却并没有引起反响，于是便销声匿迹了。	One or two nosy reporters even went so far as to investigate what had happened to Wang Qiyao in the years following the pageant; several articles were published in the back pages of the newspapers but failed to generate much interest, and the whole thing eventually died down.
陈清扬在各个方面都和我不同。	Chen Qingyang was different from me in every respect.
灯光齐明，眼前的暗变成了溶溶的红色，虽是有光，却是不明就里的光。	The set lights came on, transforming the darkness into a thick crimson hue.
汪淼说着，钻进车里，他不想把这个话题继续下去了。	Wang ducked into the car. He didn't want to discuss the subject any further.
我带进山两件，一件是我的，一件是从别人门口顺手拿来的。	I brought two along; one was mine, the other one I picked up conveniently from someone's doorway.
河里的水流到灯影里，黄得像熟透的杏子一样可爱，但可爱一霎霎，就流过去了，黑暗中的河水倒映着一天星斗。	When water flowed into the halo of light, it was the cordial yellow of an overripe apricot. But cordial for only a fleeting moment, before it flowed on. In the surrounding darkness the water reflected a starry sky.
心想：“天下不知多少成名的英雄好汉，在我面前都是恭恭敬敬，大气也不敢透一声，这个刁蛮古怪的顽童，偏有这许多废话。”	But what he thought was, 'How many men of valour and reputation have I seen behaving like submissive flunkeys and hardly daring to breathe in my presence, yet this two-faced, shifty little urchin can stand here and give me all this lip!'
除此之外，眼角脖子下有不少皱纹。	Other than that, the corners of her eyes and her neck had begun to crease.
前边几任房客都在晒台上留下各种花草，大多枯败，也有一两盆无名的，却还长出了新叶。	Different batches of tenants had left their plants on the balcony. Most had withered, but a few nameless ones had sprouted new leaves.
陈清扬听了，禁不住一笑说：那地方怎么走？	When Chen Qingyang heard this she couldn't help smiling. How do you get to that place?
要是我还不肯，就让寡妇来找我。	If I still didn't agree, he was going to let the widow come after me.
平时他并不来住，只是三天两头地开派对，将各种的朋友汇集起来，过一个快乐的夜晚，或者快乐的白天。	He didn't normally live there, but every few days he would invite friends over for a fun-filled afternoon or evening.
他眼见黄顾二人脸色凝重，又知顾炎武向来极富机变，临事镇定，既说是要紧事，自然非同小可， 拱手道：“两位请进去先喝三杯，解解寒气。”	Lü Liuliang observed the grave expression on his visitors' faces. Knowing of old how unfailingly Gu Yanwu's political judgement was to be trusted, he realized that what the latter had referred to as 'something serious' must be very serious indeed. He clasped his hands and bowed to his guest politely. 'Come inside,' he said. 'Drink a few cups of wine first, to warm yourselves up a bit.'
成麻子一直很高兴，日本人即将前来洗劫的消息使村里村外的狗屎大增，往常早起抢捡狗屎的庄稼汉仿佛都懒惰了，遍地的狗屎没人捡，好象单为成麻子准备的。	Pocky Cheng walked around happy all the time. News that the Japanese were on their way to sack the village created a glut in dogshit in and around the village. Apparently the farmers who normally fought over it had grown lazy, for now it lay there waiting for him to come and claim it.
上面还有十几副，你想怎么看就怎么看吧，我先去睡会儿，就在靠门口那个房间。	I have a dozen more pairs upstairs. You can look as much as you like, but I'm going to take a nap now in the room over there.
队伍摆在大路上，三十多人缩成一团，像一条冻僵了的蛇。	Out on the highway, the soldiers huddled so closely together they looked like an inert snake.
贾瑞道：“这也容易。”	'I could do that, certainly,' said Jia Rui.
她还说，在南方待久了，到了北方手就裂。	She also said she'd stayed in the south so long that her hands cracked when she came to the north.
宝钗忙劝他：“好兄弟，快别说这话，人家笑话。”	Bao-chai was shocked: 'Please don't say things like that, Cousin! You'll make yourself ridiculous.'
后来又说：地里会不会长出小王二来——这像个大夫说的话吗？	And a moment later she asked, Will a little Wang Er grow out of the land?— Does this sound like something a doctor would say?
父亲眼前挂着蓝白色的雾幔，挡住了他的视线，只闻队伍脚步声，不见队伍形和影。	Father could still hear them, but a curtain of blue mist obscured the men themselves.
她说好吧，还剩下一个倾心之谈。	All right, she said, at least we can still have a heart-to-heart.
勒农直着嗓子吼：“王二！ 坝打得不鸡巴牢！”	Le Long roared back, 'Wang Er, the fucking dam you built wasn't strong enough!'
后来又有一名大官保荐他为“博学鸿儒”，吕留良眼见若再相拒，显是轻侮朝廷，不免有杀身之祸，于是削发为僧，做了假和尚。 地方官员见他意坚，从此不再劝他出山。	Some time later, however, when another high-ranking official sent forward his name as a 'distinguished scholar of exceptional merit', Lü realized that his continued refusal would be construed by the Court as an open slight, with fatal consequences for himself and perhaps his family. Accordingly he had had himself tonsured (though not in fact with any intention of becoming a real monk), whereupon the Government officials were finally convinced of his determination and ceased urging him to come out of his retirement.
后来我又见到陈清扬，已经到了九十年代。	When I saw Chen Qingyang again, it was already the nineties.
一年前就是了，您还不知道？！”	It began two years ago. Didn't you know?'
火光起伏跳荡，照亮了河南河北的高粱。	The dancing flames lit up the sorghum on both banks of the river.
她向程先生敬一杯酒，称他是世上少有的仁义之士，又说是黄金万两容易得，知心一个也难求。	She proposed a toast to Mr. Cheng, declaring him a rare gentleman and even quoting the old adage, 'It's easier to find ten thousand ounces of gold than a true friend who can really understand you.'
那文士见到这等情景，不禁长叹一声，眼眶也红了，说道：“可怜，可怜！”	He was evidently affected by this little scene, for a groan escaped his lips and he appeared to be very close to tears. 'Poor creatures!' he murmured to himself.
海老公伸出右手，摸了摸她头顶，又摸了摸她脸蛋，道：“你是个小宫女，是不是？”	The old eunuch ran his hand over her head, then over her face. ''You're one of the maids-in-waiting, aren't you?' he said.
这几年不大走动。 当时他们来了，却也从没空过的。	She said they haven't been round much of late years, but in the old days when they used to visit us we never sent them back empty-handed.
她陷入强烈的恐惧中，不是为自己，而是为孩子——孩子还在腹中吗？	She sank into terror: not for her, but for her unborn child—was the child still in her?
“有有有”。他说。	'Yes yes yes,' he jabbered.
陈清扬说，她决定上山找我时，在白大褂底下什么都没穿。	Chen Qingyang said that when she decided to head up the mountain to search for me, she didn't have anything on under her white smock.
说着，向小红撂下，回转身就跑了。	She threw them in Crimson's direction and straightway darted out again.
他轻轻走过去，想问她什么，不料她却惊了一跳，回头反问程先生要什么。	He quietly approached to ask what she was thinking. The last thing he expected was for her to jerk back and ask him what he wanted.
次日清晨，袭人已是夜间出了汗，觉得轻松了些，只吃些米汤静养。	First thing next morning Aroma awoke to find that she had sweated heavily during the night and that her body felt very much lighter; but she would take only a little congee for breakfast in order not to tax her system too soon.
回来你见了就知道了。	Wait till you meet her, and you'll see what I mean.
士隐笑道：“非也。	'No, no,' said Shi-yin.
韦小宝趁他说话之时一口气浮了，全身用力向他后腰撞去，将背心撞在他头上，右手从他臂腋里穿了过来，用劲向上甩出。	Trinket took advantage of the fact that Misty was busy speaking and momentarily off his guard, to launch a counter-attack. He brought his head down with all his might on to Misty's back, shot his right hand under his armpit, and flung him up into the air as hard as he could.
他甚至搞不清我是不是哑巴。	He wasn't even sure whether I was a mute or not.
何况开荒很累，没力气干。	Besides, cultivating the wilderness was very tiring and I didn't have the energy for it.
这等于当众暴露了她是破鞋。	It was almost as if she'd confessed publicly that she was damaged goods.
你从很远的地方就能看见，因为它粉刷得很白，还因为它在高岗上。	You could see it from far off, because it was whitewashed and set on a hill.
只怕他那门上人也不肯进去告诉，没的白打嘴现世的！”	I doubt the people at the door would bother to tell them we were there. Who's going to all that trouble just to make a fool of themselves?'
父亲后来才知道，就是他四岁那一年，爷爷在爱着奶奶的同时，又爱上了奶奶雇来的小姑娘——已经长成了漆黑发亮的大姑娘恋儿。	Later on he learned that that was the year Granddad, who loved Grandma dearly, had fallen in love with the hired girl, Passion, who had grown into a bright-eyed young woman.
这是疯狂的终结吗？	Was this the end of the madness?
叶文洁回到自己的房间，这里曾是她和杨卫宁的家，现在空荡荡的，只有腹中的孩子陪伴着她。	Ye returned to her room. This was once the home of her and Yang Weining, but now it was empty, her only companion the unborn child within her.
这就是一整个新区的精神状态。	Such is the spiritual state of the entire district.
她每次都特别注意看那几个举着铜烟袋锅儿的，她们嘴里悠然吐出的烟浸满了阳光，同她们那丰满肌肤上的汗毛一样，发出银亮的柔光。	She paid attention especially to the women with the copper tobacco pipes. Leisurely, they blew smoke out of their mouths, and the smoke, filled with sunlight, gave off a silvery glow much like the fine hairs on their plump limbs.
输了几个钱，就这么个样儿！”	Fancy making a fuss like that about losing a few coppers!
在家跳蹋也没用！”	What's the sense in rampaging around here at home when you could go out and help yourself?'
不如挖了出来，让老子下酒。”	I might as well cut them out. They'll make a nice little snack for me next time I'm having a drink.'
婴儿吃足了奶已睡着，蜷在蜡烛光里，也看不见个人形。	The baby had just been fed and was deep in sleep, her outline barely visible in the candle light.
脸上表情不知是哭还是笑。	The expression on his face could have been a cry, or could have been a laugh.
你道是何呆意?	Let us try to explain it.
我们有伟大友谊，一起逃亡，一起出斗争差，过了二十年又见面，她当然要分开两腿让我趴进来。	We had a great friendship, ran away, went on denouncement trips together, and now that we met again after twenty years' separation, of course she would open her legs to let me crawl in.
一面说，一面抬身要茶时，只见周瑞家的已带了两个人立在面前了，这才忙欲起身、犹未起身，满面春风的问好，又嗔着周瑞家的：“怎么不早说！”	As she did so, she raised her head and saw Zhou Rui's wife with her two charges already standing in front of her. She made a confused movement as if to rise to her feet, welcomed the old lady with a look of unutterable benevolence, and almost in the same breath said rather crossly to Zhou Rui's wife, 'Why didn't you tell me?'
河岸上有几对寨子里的牛在斗架，斗得眼珠通红，口角流涎。	On the bank, several pairs of bulls from the mountain village were fighting each other. Their eyes had turned red, and saliva drooled from the corner of their mouths.
我仔细看了一阵，提了一点意见。	I looked carefully at them for a while, and gave her my opinion.
琳，你真的太聪明了，早在几年前，你就嗅出了知识界的政治风向，做出了一些超前的举动，比如你在教学中，把大部分物理定律和参数都改了名字，欧姆定律改叫电阻定律，麦克斯韦方程改名成电磁方程，普朗克常数叫成了量子常数……	Lin, you truly are too smart. Even a few years ago, you could feel the political winds shifting in academia and prepared yourself. For example, when you taught, you changed the names of many physical laws and constants: Ohm's law you called resistance law, Maxwell's equations you called electromagnetic equations, Planck's constant you called the quantum constant....
他努力地破译着，感受着幽灵倒计时的流逝。	He struggled to understand all the messages, and felt the passing of the countdown, second by second.
贾环急了，伸手便抓起骰子来，就要拿钱，说是个六点。	With the speed of desperation Jia Huan reached out and snatched it up, claiming, as he did so, that it was a six.
既得罪了他，就有本事承任，犯不着带累别人！”	And even if we had offended her, we should be perfectly capable of owning up to it and not letting someone else take the blame!'
你想不想看看有多耷拉。	Want to see the droop?
周瑞家的在旁听见他说的粗鄙，只管使眼色止他。	Horrified by the crudity of these expressions, Zhou Rui's wife, who was standing by, was meanwhile signalling frantically to the old lady to stop.
等了好半天，听了好几篇批判稿，才轮到我们王陈二犯。	After waiting a long time and hearing quite a few articles of denouncement read, our turn, convicts Wang and Chen, finally came.
刘老老忙念佛道：“我们家道艰难，走不起。	Grannie Liu invoked the Lord Buddha in pious disavowal of so shocking a view. 'It's hard times that keeps us away. We can't afford to visit.
当时的规矩，轿夫们在路上开新娘子的玩笑，如同烧酒锅上的伙计们喝烧酒，是天经地义的事，天王老子的新娘他们也敢折腾。	It was a custom back then for sedan bearers to tease the bride while trundling her along: like distillery workers, who drink the wine they make, since it is their due, these men torment all who ride in their sedan chairs – even the wife of the Lord of Heaven if she should be a passenger.
叶文洁在这个大兴安岭的农家住了半年多，她产后虚弱，没有奶水，这期间，杨冬吃着百家奶长大了。	Ye lived for more than half a year with this peasant family in the Greater Khingan Mountains. She was so weak after giving birth that her milk did not come in. During this time, the baby girl, Yang Dong, was breastfed by all the women of the village.
吃完饭后，只怕海老公起疑，便拿着六颗骰子，在碗里玎玲玲的掷个不休，掷了一会，只觉眼皮渐重，昨晚一夜没睡，这时实在疲倦得很了，不多时便即睡着了。	When he had finished eating, he went through the motions of practising with the dice so as not to arouse the old eunuch's suspicions, throwing them noisily across the table. After a while his eyelids began to feel heavy. He hadn't slept all night. In minutes he was sound asleep.
早上我带给他很多酸琶果，都是好的。	In the morning I brought him a lot of loquats, all very good.
韦小宝一个打滚，翻身压在小玄子背上，记得海老公所教，便伸手去拿他后腰穴道，可是他没练过打穴拿穴的功夫，这穴道岂能一拿便着？	As Trinket rolled and spun round, he managed to pin Misty face down on the floor. He remembered Old Hai's little demonstration, and felt for the vital point in the small of Misty's back. But he had never done this sort of thing before, and it was hard to find the point at his very first attempt.
这些人定是服侍皇帝的太监。”	These people are all eunuchs working for the Emperor. . .'
她脸上有两点很不健康的红晕。	There were two unhealthy red spots on her cheeks.
吴佩珍这才收敛了一些。	Only then did Wu Peizhen cool down a bit.
小郡主竟会在皇宫之中，别说他们决计想不到，查不出，就算知道了，又怎有能耐冲进皇宫来救人？	Not that they'd ever guess she was in the Palace, anyway. But even suppose—it's very unlikely, but just suppose—they did find out she was here, they'd never try getting in here to rescue her.
三天之后，程先生接了王琦瑶母女出院，进弄堂时，自然招来许多眼光。	When, three days later, he brought mother and daughter home from the hospital, the threesome attracted quite a few curious stares down the longtang.
大家很快就会忘干净的！”	Everyone will forget all this completely!'
“如果有人故意破坏呢？”	'What if it's sabotage?'
斯坦顿问汪淼以前是否来过巴拿马，汪淼说没有。	Stanton asked Wang whether he had ever been to Panama before. Wang said no.
海大富？	Hai Dafu?
“至少轮到我了。”	'It's my turn, at least.'
如今女婿接了养活， 岂不愿意呢，遂一心一计，帮着女儿女婿过活。	She therefore embraced her son-in-law's invitation with alacrity and threw herself enthusiastically into the business of helping the young couple to make a living.
吕留良叹道：“二瞻先生此画，颇有深意。	Lü sighed. The painting had a message, ' he said.
说起来，其实就是那老爵士乐可以代表和概括的。	This was, when all was said and done, what all those old jazz records stood for.
钱老板道：“昨天徐天川徐三哥给人绑了去，韦香主带同众位哥哥，二次去杨柳胡同评理，属下便出去打探消息，想知道沐王府那些人，除了杨柳胡同之外，是不是还有别的落脚所在，徐三哥是不是给他们囚禁在那里，想知道他们在京城里还有哪些人，当真要动手，咱们心里可也得先有个底子。	'Yesterday, after we found that Brother Xu had disappeared,' said Butcher Qian, 'while you and the others went back to Willow Lane, I went off on my own to make a few enquiries. First of all I wanted to find out whether the Mu Family had any other places in the city besides the Willow Lane one where they might be holding him; and secondly I wanted to know how many more of them there are, so that we have some idea what we are up against if it comes to a fight-out.
陈清扬说，她面对这丑恶的东西，想到了伟大友谊。	Chen Qingyang said, facing this ugly thing, she remembered our great friendship.
过了这么多年我才发现，陈清扬是我的前妻哩。	After all those years, I just discovered that Chen Qingyang was actually my ex-wife.
兄弟失言了。”	I spoke without thinking.'
他的腮上，有一股深蓝色的东西在流动。	A dark-blue substance was flowing on his cheek.
从他的鼻尖上流下的黑血滴滴答答地落在钢盔里。	Dark blood dripped into it from the tip of his nose.
他们以各种方式，总能结识一个或两个外国人，参加在其中，使他们这一群人有了国际的面目，并可自由出入一些国际场所。	They always managed to get hold of a foreigner or two to give their gatherings an international flavor—which, incidentally, gained them entry into all kinds of exclusive places where only international guests were welcome.
所以我在这里看着。”	-Which leaves only me to look after the place.'
如今只好走后门。	The only way left would be through the back gate.
海老公摇头道：“‘天下第一’四个字，哪里敢当？	The old man shook his head. 'I'm not a 'world champion'.
余司令飞起一脚，踢到王文义的屁股上。	Now Commander Yu kicked Wang Wenyi in the backside.
“不知道…… 没有……”	'I don't know . . . don't think so. . . .'
我想穿上裤子，她又说，别这样。	I began to put on my pants, but again she said, Don't!
那时候他二十郎当岁，是东北乡打棺抬轿这行当里的佼佼者	At the time he was a beefy twenty-year-old, a pallbearer and sedan bearer at the peak of his trade.
我觉得耷拉不好看，就说，咱们还是想想办法，别叫它耷拉。	But I didn't like the idea that her breasts would droop and said, Let's think of a way to keep them from drooping.
那导演有时让她们看镜头，镜头总是美妙，将杂乱和邋遢都滤去了。	Sometimes the director let them look through the camera and what they saw through its lens was always gorgeous; the camera had the power to filter out all of the chaos and disarray.
宝玉惦记袭人，便回至房中，见袭人朦胧睡去。	Bao-yu, still worrying about Aroma, returned to his own room, where he found her sleeping fitfully.
奶奶赶紧拿起红布，蒙到头上，顶着轿帘的脚尖也悄悄收回，轿里又是一团漆黑。	Grandma quickly snatched up her red veil and covered her face, gently drawing her foot back from beneath the curtain and returning the carriage to darkness.
成麻子扎好布腰带，哈着腰爬上沟堐，四肢拘谨得没处安放，大眼珠子灰白，不知说什么好，就直着劲点头哈腰。	Pocky Cheng climbed out of the ditch. Not knowing what to say, he just bowed repeatedly.
王琦瑶看着他说：头上都吃出白头发来了。	Wang Qiyao took a closer look at him and jokingly observed, 'You've been eating so much that you're starting to grow gray.'
陈清杨说，在章风山她骑在我身上一上一下，极目四野，都是灰蒙蒙的水雾。	Chen Qingyang said on Mount Zhang Feng, when she rode up and down on my body, she looked far and near, and saw nothing but gray, watery fog floating in the air.
大喇叭小唢呐呜呜咽咽地吹着，那股蛋腥味更加强烈，奶奶牙齿紧咬嘴唇，咽喉里像有只拳头在打击，她忍不住了，一张嘴，一股奔突的脏物蹿出来，涂在了轿帘上，五只苍蝇像子弹一样射到呕吐物上。	As the horns and woodwinds blared and tooted, the taste of eggs grew stronger, forcing Grandma to bite down hard on her lip. But to no avail. She opened her mouth and spewed a stream of filth, soiling the curtain, towards which the five flies dashed as though shot from a gun.
他还说，我的行为够上了坏分子，应该受到专政。	He also said my behavior met the criteria for my classification as one of 'the bad elements,' and I should be punished by the proletarian dictatorship.
表哥这就带了她们往外走，路上又遇见那导演一回，竟还记得她们，叫她们某某中学的女学生，很幽默的，两人都红了脸。	As the cousin led them toward the exit they once again ran into the director. Not only did he remember them, he addressed them jocularly as 'the girls from So-and-so middle school'—Wang Qiyao and Wu Peizhen turned a bright red.
过一会服务员来送开水。	After a while, the attendant brought us boiling water.
他知道队伍一直往东南走，很快就要走到那条南北贯通，把偌大个低洼平原分成两半，把胶县平度县两座县城连在一起的胶平公路。	By heading east-southeast, they would soon reach the Jiao-Ping highway, which cut through the swampy lowland from north to south and linked the two counties of Jiao and Pingdu.
沙瑞山惊恐地盯着曲线讲。	Sha stared at the waveform, terrified.
我再敢说这些话，嘴上就长个疔，烂了舌头。”	I promise never to say anything like that again. May my mouth rot and my tongue decay if I do!'
父亲五岁时，就像小鸭子一样潜水，粉红的屁股眼儿朝着天，双脚高举。	At the age of five, he could dive like a duckling, his little pink asshole bobbing above the surface, his feet sticking straight up.
我们本该属于同一类，可是团领导说了，我们年轻，交待问题的态度好，所以又可以不参加。	We belonged in the group, but the regimental leaders said that since we were young people, and had good attitudes, we didn't have to go.
士隐待客既散，知雨村已去，便也不去再邀。	Nor did Shi-yin invite him round again when, having at last seen off his visitor, he learned that Yu-cun had already left.
当下代儒没法，只得料理丧事，各处去报。	Seeing that there was to be no redress, Dai-yu was obliged to set about preparing for the funeral and began by announcing his grandson's death to everybody concerned.
说到这里，便问王琦瑶那位先生姓什么，贵庚多少，籍贯何处，在哪里高就。 王琦瑶一一告诉她后，她便直截了当问道：看他对你这样忠心，两人又都不算年轻，为什么不结婚算了呢？	She took the opportunity to ask Wang Qiyao the gentleman's name, his age, where he was from, and where he worked, all of which Wang Qiyao responded to matter-of-factly. At that point Madame Yan asked bluntly, 'He is so loyal to you, and neither of you is getting any younger.... Why don't you just get married?'
海老公道：“我上了你什么大当啦？”	'What do you mean?' said the old eunuch. 'How have I been had?'
半夜中霍启因要小解，便将英莲放在一家门槛上坐着， 待他小解完了来抱时，那有英莲的踪影?	It was near midnight when Calamity, feeling an urgent need to relieve his bladder, put Ying-lian down on someone's doorstep while he went about his business, only to find, on his return, that the child was nowhere to be seen.
慢慢移动脚步。	She began walking, very slowly, in the direction she had indicated.
王琦瑶对自己没有信心了，反倒是豁出去地，睁大眼睛看那化妆师的手法，看着自己一点一点变得不是自己，成了个陌生人。	Losing all confidence in herself, Wang Qiyao decided to simply let everything ride; she focused on watching the makeup man gradually transform her into someone else—a stranger she did not recognize.
汪淼本以为大家一见面就会对《三体》展开热烈的讨论，但现在发现自己想错了。	Wang had originally thought that as soon as they met they'd begin a lively discussion of Three Body, but he was wrong.
上海的弄堂是很藏得住隐私的，于是流言便漫生漫长。	The longtang of Shanghai are very good at protecting their privacy, allowing gossip to prosper and proliferate.
回到农场是她的主意。	It was her idea to go back to the farm.
问题不在于破鞋好不好，而在于她根本不是破鞋。 就如一只猫不是一只狗一样。	However, the problem was not whether damaged goods were good or not good, but lay in the fact that she was not damaged goods at all, just as a cat was not a dog.
短长长长长、短长长长长、短短短短短、长长长短短、长长短短长长、短短长长长、短短短短长、长长短短长长、短短短长长、长短短短短，这是1108：21：36。	short-long-long-long-long, short-long-long-long-long, long-long-long-long-long, long-long-long-short-short, long-long-long-short-short-short, short-short-long-long-long, short-long-long-long-long, long-long-long-short-short-short, short-short-short-long-long, long-short-short-short-short—that's 1108:21:36.
她偶尔去看一场电影，晚上八点的那一场。 马路上静静的，路面有灯的反光，电影院前厅那静里的沸腾，有着时光倒流的意思。	Once in a while she caught a late movie, one of the ones that started at eight, when street lamps were reflected on the face of the silent streets. Only the theater lobby would be bustling, as though time had stood still.
她只道这老太监捉住了自己，要去禀报太后。	She assumed that he intended to report her for being caught wandering outside at an unauthorized hour.
哭了一会儿，王琦瑶先止住了，擦干眼泪说道：确是萨沙的孩子。	They were both in tears, but it was Wang Qiyao who stopped crying first. Wiping away her tears, she insisted, 'She really is Sasha's child.'
十三楼里那点笑闹，只是沧海一粟罢了。	The laughter and gaiety coming from the thirteenth floor form but a drop in the ocean.
王琦瑶先不回答，然后笑了笑说：办什么满月酒！	Wang Qiyao did not say anything at first. Then, breaking into a smile: 'Is that cause for celebration?'
“运河最窄处一百五十米，‘审判日’号高三十一米，吃水八米左右。”	'The narrowest point of the canal is one hundred fifty meters wide. Judgment Day is thirty-one meters tall, with a draft of eight meters or so.'
这次与会的有更多的外国军人，而且都穿上了军装。	Many more foreign military officers were at this meeting than the last. They were all in uniform.
她的有些装束使王琦瑶触目惊心，却有点感动。	At times her appearance startled and touched Wang Qiyao.
爷爷对老头那两只警觉的眼睛不满意，老头嘴里喷出的铜臭气使爷爷反感。	Granddad didn't like his watchful look and was repulsed by the greedy stench that came from his mouth.
他家住虹口一条老式弄堂房子，父母都是勤俭老实的职员，姐姐已经出嫁。	This 'Old Colour' lived in a traditional longtang in Hongkou, with parents who were honest, hardworking government employees and watched what they spent; his sister had left home to get married.
她就在那一刻醒来，抬头问我干什么。	She awakened right then, raised her head, and asked what I was doing there.
奶奶的花轿行走到蛤蟆坑被劫的事，在我的家族的传说中占有一个显要的位置。	The holdup of Grandma's sedan chair by a highwayman at Toad Hollow occupies an important place in the saga of my family.
可是罩着红盖头，灯光齐明的情景却长在了心里，眼一闭就会出现的。	But the image of that crimson wedding veil and the dazzling studio lights were already imprinted in her mind and reappeared whenever she closed her eyes.
坏透了的小蹄子！”	Lazy little beast!'
王琦瑶到护士教习所学了三个月，得了一张注射执照，便在平安里弄口挂了牌子。	Wang Qiyao underwent three months of training as a nurse in order to be certified to give injections. She hung out a sign advertising injections outside the entrance to her apartment on Peace Lane.
他可以把我锤骟掉，再把陈清扬拉去当妃子。	He could castrate me with a hammer and then take Chen Qingyang as his concubine.
我不得不告诉您，我们高密东北乡女人哭丧跟唱歌一样优美。	I must tell you that the weeping of women from Northeast Gaomi Township makes beautiful music.
她说， 那一回你比哪回都混蛋。	She said, That time, you were a bigger bastard than ever.
海老公又哼了一声，道：“当真什么都忘记了？”	Old Hai humphed again. 'Have you forgotten everything?'
因向佳蕙道：“你替我取了来。”	She turned to Melilot. 'Would you go and get it for me, then?'
这流言里有一个“私”字，这“私”字里头是有一点难言的苦衷。	The word 'self' is embedded into gossip; and within this word 'self' there is an unmentionable pain.
一种类似愧疚的心情在他心里漾起，他后悔了。	Something suspiciously like a guilty conscience began to stir in Old Geng.
躺在一起心平气和，有时轻轻动一下。	It felt very peaceful lying together, and sometimes we moved a little.
外面几个人接声说：“请蓉大爷回来呢！”	Servants in the yard outside dutifully took up the cry, 'Master Rong, you're wanted back again!'
可是她穿上以后连路都走不了啦。	But after putting the skirt on she could barely walk.
土围子上、街道上、尸体狼藉。	Bodies were strewn atop the village wall and on the roads.
石头果然答道：“我师何必太痴!	'Come, your reverence,' said the stone (for Vanitas had been correct in assuming that it could speak) 'must you be so obtuse?
韦小宝道：“有时我并不想丢脸，不过真要丢脸，也没有法子。	'Sometimes things that might disgrace you seem to happen to me when I can't help it,' said Trinket.
螃蟹趋光，正向灯影聚拢。 父亲和罗汉大爷静坐着，恭听着天下的窃窃秘语，河底下淤泥的腥味，一股股泛上来。 成群结队的螃蟹团团围上来，形成一个躁动不安的圆圈。	Father and Uncle Arhat sat quietly, listening with rapt respect to the whispered secrets of the land, as the smell of stinking river mud drifted over on the wind. Hordes of crabs attracted by the light skittered towards the lamp, where they formed a shifting, restless cloister.
就是太太的内侄女儿，大舅老爷的女孩儿，小名儿叫凤哥的。”	Her Ladyship's niece Wang Xi-feng. You know, Her Ladyship's eldest brother's daughter, that we used to call 'Feng-ge' when she was a child.'
只见炕上那人笑道：“瑞大叔要肏我呢！”	At this the person on the kang gave a giggle: 'Uncle Rui is trying to bugger me!'
洪水把队里的羊冲走了几只，队支书就冲知青们喊：革命小将们，考验你们的时候到了！	There was a flood that carried off a few of the sheep kept by the production team. So the Party secretary called to the sent-down students, 'Revolutionary youths! It's time to test your mettle!'
好不好的，拉出去配一个小子，看你还妖精似的哄人不哄！”	The best thing they could do with you would be to marry you off to one of the boys and send you packing. Then we'd see how you managed to play the siren and lead young gentlemen astray!'
隔三差五，他们总有人把打到的野兔山鸡什么的送到齐猎头儿家，还给杨冬带来许多自己做的奇特而古朴的玩具。	Every few days, one of them would bring a hare or pheasant he had caught to Hunter Qi's home. They also gave Yang Dong strange and quaint toys that they'd made with their own hands.
严家师母问这又是为什么。 王琦瑶并不说理由，只把那一日同教书先生看电影的情景描绘给她。	When Madame Yan inquired into the reason, Wang Qiyao simply recounted the scene at the movie theater with the schoolteacher.
